,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Tavern,Ante Up
8/1,Tedeschi Trucks Band | Lukas Nelson 7PM,Excision Revenscoon b2b Jantsen | Infekt b2b Samlifire | Barely Alive | Grabbitz | Pegboard Nerds | Dodge & Fuski 5PM,The Black Crowes | Whiskey Myers | Southall 5:30PM,,Punchis Punchis 8PM,,Dombresky | Walker & Royce 8PM,Baby Bash | MC Magic | SPinks | Mike Steel | Hazy OBE | Dank 1 7PM,,An Album Tribute to Wilco's Sky Blue Sky 8PM,,Of Virtue | Savage Hands | Set for Tomorrow | Sorry X 6PM,Voodoo Glow Skulls | Authority Zero | The Venomous Pinks | Sorry Sweetheart 7:30PM,Pearl & THe Oysters | Pleasure Prince | Green Typewriters 8PM,,Polyrhythmics ft. Adryon de León w/ Magnolia Boulevard 7PM,Cosmic Beach Resort w/ The Jon Brumm Musical Experience + Satellite Friend 4PM,Pandas & People | Lola Rising 7PM,,,,Cherokee Social | Stovetop Gemini | iies 7PM,,Alejandro Aranda | Christopher Morse | Tyler Stone 7PM,,Let The Dead Eat The Dead | Part Weapon | The Picture Tour 8PM,Leveler | Bleed The Vain | Running From Nothing | Abstract Delusions 7PM,Kung Fu Juice Box | Winched! | Rat Napkins | Milk N' Fox | RLY ORY 6:30PM,,,Shared Walls | Gangstead | Paper Moon Conspiracy 9PM,Geena Fontanella | Blue Mesa | Turning Jane | Hello Central 8PM,,Jerry Day with Shakedown Street 6PM ,Bandits On The Run | Alexa Wildish 8PM,
8/2,Wynonna Judd | Melissa Etheridge  w/ The CO Symphony 7PM,The Black Crowes | Whiskey Myers | Southall 6:30PM,,,El Tri 7PM,,,,,Dinosaur Pile-Up | Untitled 8PM,,2slimey 7PM,,,,,Eperimental Brunch | Corgi Cartel | Black Hole Boogie Band 4PM,North Fork Crossing w/ Sam Walker (of Clay Street Unit) 5PM,,,,Savage Hands | Of VIrtue | Set For Tomorrow | Sorry X 6PM,The Soap Girls | Kenny's Login | Social Murder Jr 7PM,Boyfriend | Sexy Coyote | Damn Selene 7PM,,El Welk | JJ Nicely | Chella & The Charm 7PM,,,,,,Sam Nicholson | Lexi Faye | Public Picasso 8Pm,,Boulder Philharmonic 4PM,,
8/3,FOTR Bridesmaids Pre-Show performace May Be Fern 6:30PM,,,,,,,,,,,,,All Under Heaven | Strainer 7PM,,,,Day We Ran | Still Blank7PM,,,,,,,,,,,,,,,,,,
8/4,K-Love Live at Red Rocks,,,,,Audrey Hobert 8PM,,,,"Wunderhorse | Fat, Evil Children 9Pm",,BabyChiefDoit 7PM,Kingfishr | Tadhg Nolan 8PM,Cory Hanson | SLowhand | Honey Blazer  7PM,,,,John-Robert | Mykey 7PM,,,,,Dead Heat | Acid Sentence | Playn For Keeps | Low Blow 7PM,,,Free THe Witness | subtitles. | Waxpool | Bury Mia 7PM,The Ex-Faces | Saints of Solomon | Deep Within 7PM,,,,,,,,,
8/5,K-Love Live at Red Rocks,,,,,,,,,,,,,Herr God | Flesh Tape | Roseville 7PM,,"DTF: Deitch, Teitel, Fribush w/ Joey Porter Trio 7PM",,Ben Chpman | Patrick Dethlefs 7PM,,,,Ella Red | Zoe Ko | Evie Valentine 7PM,Mella | Body Thief | Postdrome | Disastry 7PM,,,,,,Not For Radio 7:30PM,,,Alex Dragicevich - Stand Up 7PM,,,,
8/6,Of Monsters and Men | Grodi 8PM,,Sublime | Common Kings | Codefendants  5:30PM,,,,,,,,,,,Bug Bath | Gooey Cookie | Mouthful 7PM,SHIFT Ft. DMVU & Luzcid w/ Canvas | Mass Relay | Tokiyoh 8PM,Fireside Collective (Reckoning Dead Set) w/ Shakedown Strings (Patio Set) 7PM,Thrasha | Concentrates | Torcherrr | NVLL 7PM,Left Out w/ Static Heads + Espialle 7PM,,,,Ded | Dropout Kings | VRSTY | Lungburn 7PM,Denver Porchfest Official Lineup Release Party 7PM,Will Swinton 7PM,,Fudge | Big Pinch | Jackson Cloud 8PM,5150 | Indecisive | Diskount Vodka | The Orca 7PM,,Not For Radio 7:30PM,,,Upon Your Dead Body 8PM,,,,
8/7,Beabadoobee | Wisp | Been Stellar 7:30PM,Sublime | Slightly Stoopid | 311 | reel Big Fish | Spike & The Gimme Gimmes | Codefendants 5PM,,Yeat | BNYX 6PM,,Tomahawk | Melvins 8PM,,Codd Dubz | He$h 7PM,,,,,,,parkbreezy | eyelove | starfox | Borahm Lee | Sycamore Sound 8PM,The Cybertronic Spree w/ Spaceman Bob 7PM,DJ_DAve 8PM,Jason Scott & The High Heat 7PM,,,,Strung Short 7PM,Ded | Dropout Kings | VRSTY | Thorn Haven 6PM,The Braymores | SLow Caves | The Etiquettes 7PM,"Tribute show w/ STRANGE AS ANGELS, HANG THE DJ, TINDERBOX 7PM",HALF MOON | Samona Bleu | Sunstoney 7:30PM,,X-Presidents | Finding Neverland | Tiara Jade and THe TImeless 7PM,,Elektric Animals | Foreign Suns | Temple of Asteria 8PM,The Stephen Lear Band | The Street Deacons 9PM,,,Fiesta CO | Mariachi sol De Mi Tierra | Chicano Heat 6PM,NOT SPECIFIC | First Church Of The Last Days | Peer Mystic 9PM,
8/8,Slightly Stoopid | The Movement | Pepper | Slum Beach Posse 6:30PM,,Lindsey Stirling | PVRIS 7PM,,Brosco 7PM,The Fixx 8PM,,3BallMTY 8PM,Dutch Melrose | Benny Mayne 7PM,Close Friends Only 8PM,,Joey Cash 7PM,,Sleep Club | Moonpool | Ratstallion 8PM,"parkbreezy | Sam Binga, Mikayli , TALEX, Mama MK 8PM",Hogslop String Band & Hannah Marie Kelley 7PM,,Clayton Nile Young | Rambler Kane 7PM,Toadstool | Third Turn | Atlas Radio 8PM,,,The Crane Wives | Brye 7PM,Co Goth Society presents Dark Hearts Disco 9PM,Downward | Warper | Summer of Peril 7PM,,Brick And Murder | Bronto | Rubber Goddess 8PM,MACARENA30 Celebration w/ Carla V. SolOverLuna Tributes to SELENA & P!NK 6PM,Doom Scroll | Grinning Death | Nimona 8PM,Rick Ross 8PM,,SONIC CHICK 4:30PM,The Doohickeys 8PM,,Afrik Impact Cultural Day Celebration ft. Elage Diouf | Blessing Bled Chimanga  6PM,Kylie Divine | Young Rai | Luzid Music Group | Controlled Chaos | FLWRS | Ric Farley 8:30PM,
8/9,Motionless In White | Lorna Shore | Fit for a King | Static Dress 6:30PM,,,,Calle 24 7PM,Passion Pit | Arden Jones 8PM,,,,Willow Avalon | Audrey McGraw | Slater Nalley 7PM,,,,,,Pickin’ on the Dead w/ Breadbox (Patio Set) 7PM,Family Dogs | Skoki | Princess Diana | The Bailouts 4PM,Pennysick | Pocket Fuzz | Soundkick | Eduardo & CO 4PM,,Don Was and the Pan-Detroit Ensemble 8PM,,Brother Ali 7PM,,Rough Go | Pleasant Trees | Dan Codiga 4PM,,,,Doom City Drifters | The Dead Yetis | Ppl Plzr 7PM,One Night of Queen 7:30PM,,,,,AMRC ft. Snotty Nose Rez Kids | Sierra Spirit | Cary Morin Duo 4PM,,Womb Riot | SIDS | Weeping Isopropyl | Sword Saint 7PM
8/10,FOTR Jurassic Park Pre-show performance Tyler Lyson | Nat Geo Live 6:30PM,,,,,,,slayr 7PM,,,,,,,,,,,,,,,,,,Mars FM | Big Childhood | Circling Girl 7:30Pm,,,,,,,,,,
