,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Tavern,Ante Up
8/11,Empire of the Sun 7:30PM,,,,,,Sugar | J. Robbins (Jawbox) 8PM,,,,,,,Destrends | The Crooked Rugs | Los Toms 7PM,,,,,,Trombone Shorty & Orleans Avenue 8PM,,,Shonen Knife w/ Bricheros | Flight Kamikaze 7PM,Maryjo | Rikki Lumi | Kyle Christian 7PM,,White Rose Motor Oil | Minot | Zealot 7:30PM,,,,,,,,,,
8/12,Sierra Ferrell | The Brudi Brothers 7:30PM,The Guess Who | Don Felder 7:30Pm,,,,Angine De Poitrine 8PM,,,,,,,,Widowspeak | Dead Gowns 7PM,,MJT w/ French Cuffs | In Plain Air 7Pm,Healing Gems w/ Chroma Lips 7PM,Chevy Metal 7PM,,,,,Cultus Black | War Ends In Silence | Aligned in Ruins 7Pm,,,,,,,,,,,,,
8/13,Mt. Joy | Leif Vollebekk 7Pm,,Sammy Hagar 6PM,,,Angine De Poitrine 8PM,,Jutes | Mothica | wilt 6PM,,La Luz | Spacemoth | Will Sprott 8PM,,,Sam Gellaitry 9PM,Dylan Earl | The Gray Jays | Johno Leeroy 7PM,SHIFT Ft. DRRTYWULVZ – Album Release Party 8PM,"SHIFT Ft. Notixx w/ Shank Aaron, D:Form, Squiggs 8PM",Spoone | Bloom B2B DubV | Thres + Rojo 7PM,Assembly of Dust | Scrapdog 7PM,,"Django Festival Allstars feat. Samson Schmitt, Ludovic Beier, Pierre Blanchard 8PM",,,,Kyndal | Lila Dupont 6:30PM,,The Common Goode | Cosmic Beach Resort 7:30PM,,,,Prism Break 7PM,Reapers of the Sky 9PM,,,Shwayze | Claire Wright 6PM,,
8/14,Mt. Joy | Arcy Drive 7PM,,Alison Krauss & Union Station ft. Jerry Douglas | Theo Lawrence 6PM,,,,ISOXO 8PM,Rio Da Yung OG 8PM,City of the Sun 7PM,Riff Wood | Willowake 7PM,,,,Black Tusk | Upon A Field's Whisper | Victim of Fire | Tainted Blade 8PM,"Riot Ten w/ SweetTooth, Mongrel b2b Joust, Sorcell, Sleazy Lettuce 8PM",Wax Monkey & Sam Walker Band w/ Derek Dames OHL 7PM,,DWLLRS | Thebandfriday 7PM,,,,Jehry Robinson | Affliction Music | ShaneAthan | Kevin Mic Check | YZ & Treez | Widow 7PM,,Outerkindness ft. Graham Good & The Painters | The Elegant Plums 7PM,,New Junk City | Broken Record | Flutter | Gooey Cookie 7:30PM,Native Daughters | Suicide Cages | Necropanther | Last Look 6PM,Jester's & The Court | Tinnitus | The Far Reaches | Roxie & The Moon King 7Pm,,,Petigore | Morbid Catharsis | Shit Drugs 9PM,popmonst3r | Kenopro79 8PM,,Rebirth Brass Band | Deltaphonic 6PM,Cancerslug 8PM,
8/15,LCD Soundsystem | Feist | Victoryland  7PM,Mt. Joy | Arcy Drive 7PM,Lauren Daigle 6:30PM,,,Hulvey | Indie Tribe | Kijan Boone 7PM,,,Holdfast. | Hellocentral | Jaguar Stevens 7PM,Willis | ZZZahara | The Flooks 8PM,,Driveways | Like Roses | Action/Adventure 6PM,Die Spitz | Cashier 8PM,Primitive Ring | Cherry Spit | Blood Oath 8PM,MEMBA w/ Manila Killa – 360 IN THE ROUND 8Pm,King Cabbage Brass Band & Brothers of Brass w/ Sean Applebee & Beyond 7PM,Jason Schmidt | Haven Madison 5PM,Orca w/ Spencer Marlyn Band 7PM,,Nick Shoulders | Esther Rose 8PM,,Goodbye June | Romero 7PM,Parlour Magic | Church Fire | Cruel Mourning 7PM,Playlunch | Yagki 7PM,Acid Sentence | Tunnel Jumper | Circling Over 5PM,Casket Cassette 8PM,Texas Hippie Coalition | PUMP5 | Joe Mansman & The Midnight Revival Band | Orbital Destroyer 8PM,TreeHouse! | A-Mac & The Height | Justus and the Limits 7PM,,Sins of the Father | Mustain vs Hetfield 2Pm Mason Mctell | Toucon | Theatre | Zealot 8PM,,Low Gap 8PM,,,,
8/16,LCD Soundsystem | Feist | Victoryland 7PM,,,,,,,,,,,Luh Tyler 7Pm,,Fire Seed Fest ft. Vandoliers | Mya Byrne 6Pm,Nine Vicious 7PM,Bungalow Collect 7PM,"BALLERINE w/ Somebody In Texas Loves Me, four star grandpa + Brie 5PM",Bitter Boxer | Emma Spears | Cole Hemstreet | The Time Release Formula | The Ephinjis 4Pm,,Harmony of Rhythms 4PM,,,,"Discount Local w/ The Dead Buddies, The Far Reaches + Charles Duma 4Pm",,Joy Subtraction | Bleakness | Hex Charms 7PM,,,,Dear Luna | Phase 30 2PM,,,,Silverada | Blake Brown & The American Dust Choir 4PM,,
8/17,Train 6:45PM,,,,,,,,,,,,,,,,,The Missing Peace | Blanket | Day Aches 7PM,,,,,,,,Brett Newski 6:30PM,,,,,Wille and The Bandits | Erik Vincent Huey 7:30PM,,,,,
8/18,Nathaniel Rateliff w/ The Colorado Symphony 8PM,Muse | Portugal. The Man | The Temper Trap 7:30PM,,,,,Dimmu Borgir | Hypocrisy | Hulder 7PM,,,,,,St. Lucia 8PM,,NONAME 7PM,Drivin N Cryin | ERic Martinez Trio 7PM,,,,,,Nonpoint 6:30PM,,,,Liam St. John | Davis Corley 7:30PM,,,Marc Cohn & Shawn Colvin 7:30PM,,,,,,,
8/19,Illenium 6PM,,,,,,,,,,,,,Famous Friend | Floats | The Citie 7PM,The Lucky Duck Tour with Anees 7PM,,,,,,Wax Monkey | Tumbledown Shack | Uncle Jesse's Blues Skillet 8PM,,,,Albert Catiglia | The E Train 7:30PM,,,,,,,,,,,
8/20,Tori Amos | Bartess Strange 8PM,,,Thee Sacred Souls | LA LOM | The Womack Sisters 6PM,,,Joe Russo's Almost Dead 7PM,Linea Personal 7PM,,Stella Lefty 8PM,,,,,"SHIFT Ft. Richard Finger w/ Loompaskettee, Karl, Thew  8PM","Five Minutes Out, Girl Dinner & Jackson Cloud 6:30PM","Bassline Events Presents Bass Nights: Akvsha w/ CJ Spycy, Particulate, JVCK 7PM",,Wax Monkey | THe Speeks | Wampus Cat  8PM,,Midnight North | EMberfield 8PM,,Scepter of Eligos | The Heiress | The Great Regression 7PM,The Valleymen w/ Bryan Tadlock + Honey & The Hive Mind 7PM,,,,,,,Megan Glover 9PM,,,,,
8/21,Grupo Frontera 7:30PM,CAAMP | Durand Jones & The Indications 7PM,,,,Starjunk 95 | Yung Bae 8PM,Courtney Barnett | Zoh Amba 8PM,Diggy Graves | Resentvul | Ryan Oakes 7PM,,Dead On A Sunday | Nite | The System Dreams of You 8PM,J. Cole 8PM,,Strangelove - The Depeche Mode Experience 8PM,,"Richard Finger w/ Yojas, P A T H, Fervor 8PM","Midnight North w/River Spell, Bottlerocket Hurricane 7PM",,"Little Us w/ Heir to Nothing, Trash. + Aratik 7PM",,,,Chuck Ragan 7PM,,Greg Mendez w/ Maria BC | Caspar Milquetoast 7PM,,Air Moons | Rabit Fighter | The Yeah Dawgs 8PM,,,,The Sleights Album Release 8PM,Sid Williamson and The Good Faith 9PM,The Palmer Squares 8PM,,,Recipe 4 Disaster w/ Transmutation + Los Lo Los 8PM,
8/22,Rebelution | MAOLI | Skip marley | Third World | Etana | Judge Roughneck 3PM,CAAMP | Durand Jones & The Indications 7PM,Danny Elfman's music from the Films of Tim Burton 7PM,5 Seconds of Summer | The Band CAMINO 8PM,,,Dillon Francis | Flosstradamus 9PM,Bear Grillz | Badklaat | RZRKT | Vastive | All Nighter | Macefacekilla 8PM,,Ray Wylie Hubbard 8PM,Toto | Christopher Cross | The Romantics 6:45PM,Fighting the Phoenix | Fast Asleep | Talons | Spitting Image 6PM,Steam Powered Giraffe 7Pm,"Only Echoes | Creek | Seed Of The Sorcerer, Womb of the Witch | Lovesick for Mina 7PM",Blookah | Align | Spenny | Gibbs 8PM,"Float Like a Buffalo w/ John Inghram Band ft. Alyssa Medina, Juicebox 7PM",,John F. Ketamine w/ Low Blow + Better Than Dead 7PM,,,,Quicksand & Bane | Soul Blind 6:30PM,,Abstract w/ BowDizz + FLWRS 8PM,"80's Bash At Mile High w/ Sunset Blvd, Eloquent & DJ Christopher J7PM",Chloe Gendrow | Lexi Faye 8PM,Bill Callahan | Frances Chang 7PM,,Little Feat 8PM,,,,,Inspector | Roka Hueka 6PM,Skiimo | Lobsterfight | [Salt] | Buddy Bench 9PM,
8/23,Joe Bonamassa 7PM,,,,,,,,,,Avenged Sevenfold | Good Charlotte 6Pm,,Quicksand & Band | Soul Blind | Public Opinion 7:30PM,,,THIS IS A REMINDER ft. Chris Karns 6PM,Millkzy | PG | Jordan Gauson 7PM,,,Laurie Berkner 11Am & 3PM,,,Cortez | Dumb Luck | Vitrify | Tyson Punch 2PM,,Alejandra Azcarate 7PM,,,,,,,,,Rainbow Girls | LVDY 4PM,,
8/24,Santana 7PM,,,,,,Lucki | Sk8Star 8PM,Eagles of Death Metal | Paradise Vultures 6PM,,,,,,,,,,,,,,Sixpence None the Richer 7PM,,,,,,,,,,,,,,
8/25,Ian Munsick | ERNEST | Ned LeDoux 6:30PM,,,The Roots | Nas | Judakiss 6:30PM,,,,,,Josh Tatofi 8PM,,,,,,,,,,,,Archers | Long/Last | EverFlare 6PM,,,,Lilly Hiatt 7:30PM,,Yes Ma'am | Lightning Luke 8PM,,The Rifleman String Band | Bigger Than Mountains | JD Stumpf 8PM,,,,,,
8/26,Ray Lamontagne | The Weather Station 7PM,,,,,,,,,Fink | Maggie Koerner 8PM,Daniel Caesar | 070 Shake 7:30PM,,,Her New Knife | Blackberry Crush | THe Red Scare 7PM,,Natalie Brooke & Hot Like Mars 7PM,,,,,,,,,,,,,,,,,,,,
8/27,An Evening with Goose 7PM,,,,,,,,,,,,,Laurlyn | Juno Rossa | Dear Luna 7PM,,,No Distractions | Thug City | Kaptain Kitty | Massive Trackz | Sage 7PM,Walden | Look at Fiona 7PM,,,,,Holy Sons | Kathryn Mohr | Ryan Wong | Sun Swept 6:30PM,DVNEHPPY w/ Yonnas & Yearning + Glamour Shot + 2 BIT BOYZ 7PM,,,,,,,,,,Dumpstaphunk 6PM,,
8/28,An Evening with Goose 7:30PM,Dave Matthews Band 7:30PM,,,Mike Sherm | lou deezi 6PM,Hayla 9PM,The Sword | Red Fang | Spoon Benders 8Pm,Nitzer Ebb | PIG 7PM,Tune-Yards 7PM,,Chicago | Styx 7PM,,Integrity/Judge | Witness Chamber | Moral Law | The Consequence 7PM,Ghost Canyon,"YOOKiE w/ Shanghai Doom, IKU, SPLiT – Funktion-One Sound by Lost Horizons 8PM",Takuya Nakamura w/ DJ Swingsett 8Pm,,Franklin Jonas & The Byzantines | Polyglam 7PM,,,,Grieves | The Street Sweepers | Affliction Music 7PM,,"The Red Stare w/ Phooey, Chic Magnet + Garden 7PM",,The Azures | LEGS. The Band | Talk Box 8PM,Steel Society | Conaxx | Driven By Turmoil | Orna 7PM,,,Stumble Miss | When the Sun Sets | Party Cove | Edith 7:30Pm,,,,,,
8/29,Bryson Tiller | Majid Jordan | Ty Dolla $ign | Austin Millz 7:30PM,Dave Matthews Band 7:30PM,Ty Myers | Brent Cobb | Benny G 6Pm,Lil Wayne | 2Chainz 7PM,,Jason Ross 9PM,Little Stranger 6:30PM,Clarent 8PM,,Satin Jackets 8:30PM,,FEM&M | Astrid | Milkypossum | Charloux 6:30PM,,Ghost Canyon,"YOOKiE w/ Ruvlo, Lizdek, Foxx – Funktion-One Sound by Lost Horizons 8PM",Monster Rally w/ RUMTUM 8PM,,Tre Burt 7PM,,,,,,"HRZN w/ Mrs. Nezbitt, Years Down + Bridge Down 7PM",,Finn O'Sullivan | Eve Coffman | Monica 8PM,,Goatsilk | Thousand Frames | Our Darkest Sin | Veil of the Tomb 7PM,,,,The Last Wild Buffalo | Hunter Archer & The Quiver 8PM,,The Rock and Roll Playhouse Plays Music of Phish + More for Kids! 6Pm,Bicycle Day w/ Tinnitus + Moons of Pangea 8PM,
8/30,Ty Myers | Brent Cobb | Benny G 7:30PM,,,,,,,,,,,,,Ghost Canyon,Fenix Flexin  7PM,,,,,,,,Dollar $hort | Vultures | Diced 2PM,Rock N Roll Is Dead | Episode 3 | Oat Milk 7PM,,,,,,,,,,,,
8/31,John Fogerty | Hearty Har 7:30PM,,,,,,,,,,,,,,,PawPaw Rod | Femdot. 7PM,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18300 w alameda PkWy,6350 greenwood Plaza Blvd,95 spectrum lp,,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,2106 e platte Ave,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,2935 w 7th ave,3295 s broadway,,404 N broadaway,,,,1624 market st,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noah Kahan | Gigi Perez 8-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,My Chemical Romance Coors Field 8/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zach Bryan | Ryan Bingham | Fey Fili Empower Field 13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ghost Canyon Aug 28-30,Kowloon Walled City | claire rousay | Blacks' Myths | Daniel Higgs | Dead Rider | Dust Congress | Great Falls | Holy Sons | Kathryn Mohr | Moor Mother | Nora Mal | Shane Paris plays Autechre Guitar | Silkworm | Six Organs of Admittance | The Gotobeds | Violenteer | Water Damage | Abandons | Arson Charge | Blood Oath | Burnbarrel | Circling Over | Infinite Ohm | Prairiewolf | Ryan Wong & Sun Swept | Supreme Joy | Watch Yourself Die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
