,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Taven,Ante Up
6/11,Jon Bellion 7PM,Lord Huron | FightMaster 7:30PM,,,Metric | Broken Social Scene | Stars 5:30PM,Juvenile | 400 Degreez Band | Theycallhimap | Ray Reed | Trackyon music 8PM,,,,Haute & Freddy | Rubin Brothers 8PM,,Head Automatica | UHL 7PM,,Wraith | Witchtrap | The Black Moriah | Burial Oath 7PM,,,,The Talbott Brothers | Austin Mackay 7PM,,,Fancy Bits | Alysia Kraft | Christine Alice 8PM,Logan Ryan Band | Hayden Redwine 7PM,,The Alpine Pickers | Nowhere Dept. | Graham Butler 7Pm,,,,,,,Bitter Boxer | Good Magpie | Johnny Barnett 9PM,Smrtdeath | Fats'e | Lil Narnia | Yung Kell | Flowers For You | Popmonst3r  8PM,,,,
6/12,Paul Simon 8PM,,,Kid Cudi | Big Boi | Dot Da Genius | Chip Tha Ripper  5:30PM,,,,,,Sully | Aych | Shwilly | Starsearch 9PM,,,,Blankslate | Stepmom | The Galentines 8PM,"G-Space & Patches. w/ Test Kit, KiLO b2b Burnsun, Ancestyr, Saucy Feather 8Pm",Atlas Radio w/ MoonRadish | Vada 7PM,Morgan Mchugh | Abigael Elizabeth | Beau Askew 5PM   Sage Armstrong | JustQuinn | Nulif3 | Calvin Campbell 8PM,Palmyra | Kyle Szalay | Ian Mahan 7PM,,,,Dirty Kings | Deathride | Letters From The Sun 7PM,,"Co-Stanza w/ Barbara, Jalai + DJPEEPEE 7PM",,Questshun | Soneffs | Trash 8PM,Freddy Jones Band | Chris Stake 7PM,Playboy Manbaby | Colfax Speed Queen | Spaceman Bob 8PM,,May Be Fern and the Four O'Fern Showcase | Whysteria 7PM,Master Ferocious / Dust Beneath Dirt | Burn the Myth 9PM,"Ace Monroe, STIL RUNNIN, The Stephen Lear Band 8PM",,Fleetmac Wood 6PM,Shady Oaks | Sempar | Myriadd.F. | Dante Must Die 8PM,Mrs. Nezbitt | Colony COllapse | Pseudocrush 7PM
6/13,Paul Simon 8PM,,,Hardwell 5PM,,,Lane 8 b2b Sultan + Shepard | Ahibah b2b Gribore | Teho b2b Robby East 8PM,Shiverz | AKIRAH | Bommer | YUNIT | Hurtbox | Mythm 8PM,,ZOA | Chocolate Drop | Spella | Exxotik 8PM,,Nik Parr | The Selfless Lovers | Hand Turkey 7PM,,Team Nonexistent | HRZN | Tezca | Mouthful 8PM,"FLOORGASM Ft. LSDXOXO, Bambii, Sausha 9PM",Giant Walking Robots & Splendid Blend w/ The Desert Furs 7PM,Box State | Discount Local | The 165 4PM  Airwolf Paradise | Logan Camin | Mike Remedy  9PM  TRINIX | Tidepool | Vicious Pink B2b Haggard 9PM,Racing Mount Pleasant | Isobel 7Pm,,Lee Harris 6:30PM,Drake Milligan | Jack Blocker | Braxton Hamblen 8pm,Noah Daniel | Grayson Ratliff | Keaton Brown 7:30PM,,Box State w/ Discount Local + The 165 3PM   MR TOUT LE MONDE w/ maur. 7PM,Archspire | Aborted | + MOre 5:30PM,Syler Dane | No Oceans | Becca Jay 9PM,Citizen Soldier 6PM,Buck | Late Nite Takeout | Chicken Coop Willaye | Wife Swap 7PM,,Cobranoid + They Watch Us From the Moon (Kansas City) + Riff Dealer 8PM,,Blameshells | Electric Condor | The Unsolved | Animal Future 8PM,Gumm | Sewerslide | Snapt | Gooey Cookie | Strainer 7PM,Sunsquabi | Chris Karns | Drew Birch 6PM,Foggy Mountain Spaceship | Tonewood String Band | Nolen & Friends 8PM,Thornhaven | Spitting Image | Thrillrot | No Future | Gaunt 6PM
6/14,Trevor Hall | Theivery Corperation | DIrtwire | Porangui 5:30PM,,,,,,,,,,,,,,,Bleood 7PM,"Common Bird w/ Finjeffy, Heart Shaped Zombie + Tinnitus 4PM",Hayden Blount | Zandi Holup | Josh Scheer 7PM,,,,,Brokencyde | Filth | From This Day Forward | No Future 7PM,The Reserves | Moth Mother | Blind Eden | Charles & The Oddity 4PM,Cattle Decapitation | Allegaeon | + More,Traphou$echarlie | Isaiah Carter | Guardian | Sagan Petr Smith 7PM,Josh Garrels 6PM,Polkadot Cadaver | The Angry Toons | Blood Rotten 8PM,Aaron Lewis and the Stateliners 8PM,,,Remedy | Drown The Planet | Buried In Lies 8PM,,Sunsquabi | 5AM | Mikey Thunder 4PM,,Backtoearth | Barbwire Angel | Teeth First | When She Whispers 2:30PM
6/15,,,,,,,,,,,,Stygian Bough | 40 Watt Sun | Progmistress 7PM,,,,,,,,,,,,,,,,,,,,,,,,
6/16,,,,,,,,Boa | Dead Sullivan 7PM,,,,,Tigers Jaw | Pool Kids | Bleary Eyed 8PM,,,,,,,,,,Necrofier | Ob Nixilis | Belltower 7PM,,,Calder Allen | Chella & The Charm 7:30PM,,,,,,,,,,
6/17,Amyl and The Sniffers | L7 | PARTY DOZEN 8Pm,,,,,,,,,,,Thee Marloes 7PM,Amble | Cassandra Coleman 8PM,Quintron and Miss Pussycat | Pink Lady Monster 7PM,,,,,,,,,Bob Log III | Gentleman Delux 7PM,Just Tat Em | Exhaler 7PM,,the spikes | WYTCH | THE Much Too Much 7:30PM,,,,,,,,,,Terminus Hate Takeover Tour | Yosemite In Black | PowerPlay | Eyes of Salt 6:30PM
6/18,Third Day 30th Anniversary | Michael W. Smith 7PM,,O.A.R. | Gavin DeGraw | Phantom Planet 5:30PM,,,,Nitty Gritty Dirt Band | Molly Tuttle | Alison Brown 7:30PM,,,Chelsea Cutler 8PM,,,,Midwife | Amulets | Devin Shaffer 7PM,,"SHIFT Lavier & Rafeeki, Kimothy Leary, Pike 8PM","Daybreak w/ Local Sleaze B2B London Panther, Plague Flora B2B 91 Octane, Wikked B2B Jrh3 7PM",Little Image | Mayor Grey 7PM,,,,,Perth | After Eclipse | Arcwave 7PM,Doom City Drifters w/ Velvet Oblivion + Party Dad 7PM,,Andres | Resilia | Lilac Kings 8PM,,,,Cadzo | Public Picasso | Bad Knees 8PM,Brenidy Rose and the Proto Mensch | Poly Cosmics | Astra Maria 9PM,,,,,
6/19,Louis Tomlinson | The Aces 7PM,,,Gorgon City | SG Lewis | Jackie Hollander | Option4 4PM,,Tycho | Nitemoves 8PM,Synthony 8PM,RX Bandits | Maps & Atlases | Rubedo 7PM,,,,,Searows | Mori 9Pm,Seer Believer | Dollpile | Teary | Viewfinder 7PM,Iration | Artikal Sound System 7PM,Flying Mojito Bros 8PM,Winter Wolves | Great Lumbering Beast | Soul In The Water 5PM,Delicate Steve | Ronjo V | Slow Caves 7PM,,An Evening with Tommy Emmanuel | CGP 8PM,,Velvet Daydream | ORACLE | Gangstead 7PM,Cruel Mourning | BLDDDLTTR | Emergence | Frankenstein's Girl 82 7PM,Kronen & Bathing Lagoon w/ Teachers In The Summer + Synaptic Beatz 7PM,"Tributes to Pearl Jam, Foo Fighters, and more!  w/ Ten & Sonic Highways7PM",!mindparade | Precocious Neophyte | Porch Cut 8Pm,CreeCreedence Colorado Revival (tribute to CCR) | Street Survivors (Tribute) 6:30PM,Bubble Mower | Textiles | Pete Wall | Part Weapon | Skoki 7PM,,One11Twenty with Blankslate 8PM,Skulls | First Born | One TIme Crime 9PM,"The Alex Lucero Band, Noah Daniel, Grayson Ratliff 8PM",Dyego | BluNites | American Woman | Manny. 7PM,Bossman DLow | Skilla Baby | Trim | Trev Rich | TheycallhimAP 5PM,Hostile Signal | The Yeah Dawgs | Flow Wolf 8PM,
6/20,O.A.R. | Gavin DeGraw | Phantom Planet 6:30PM,Flatland Cavalry | Shane Smith & The Saints |  Kevin Powers | Laci Kaye Booth 5:30PM,,,,,The Dead South | Amigo The Devil 8PM,,,,,Elijah Scott | Devora 7Pm,,,Iration | Tunnel Vision 7PM,"Shakedown Street w/ T4B Allstars, Ozark Riviera 6:30PM","Monkeypaw w/ Thrillrot, Kung Fu Juice Box + Winched! 3PM  GUI2IN w/ GLOX + LINGO 8PM",Amelia Day | Sarah Adams | Mofie 7PM,,Mountain Grass Unit 8PM,Ten Years Gone (Led Zeppelin tribute) 8PM,Moon Walker | Pretoria | Super Cassette 6PM,,Mossgatherers | Vampire Squids From Hell | Free Milk 7PM,,The Lowtimers | Something Slight | Shawn Hess 8PM,Boogie Down Broadway: A Music Theatre Dance Party 6PM,Anyone Else | Hopefully Soon | Sonic Alchemy 7PM,,Sexy Coyote | Destino | Izzy Veloso 8PM,Denver Vintage Reggae Society 9PM,Khary | Jordan Burgett | Ason Yugen | Resrface 8PM,Harvested | Crypts of Golgotha 7PM,Lettuce | Borahm Lee 6PM,Steel Society | Driven By Turmoil | Rock Machine 8PM,
6/21,Wooli 6PM,,,,,,Emancipator | Johnathan Singer | Duffrey | Kll SMTH | SOMATOAST 7:30PM,,Leo Middea 7PM,,,Moon Waler | Pretoria | Super Cassette 6PM,Holly Humberstone | Leyla Ebrahimi 8PM,Panic Shack | Cleaner 7PM,,,Girli | Davvn 7PM,Makeout Reef | Soft Blue Shimmer | Fruit Eyes 7PM,,,,,Degreaser | Teeth First | Snapt | Third Place 2PM,Perry Maysun – A Very Pathetic Tour w/ Isaiah Poet 7PM,,Corners The Sky | Weird(er) | In Plain Air 8:30PM,,,,Crunk Witch | Damn Selene | Starfarer | Elay Arson 7PM,,,Wielded Steel | Zashed 7PM,,,
6/22,FOTR Sinners pre-show performance by The Reminders 6:30PM,,,,Dance Gavin Dance | Horse the Band | Wolf & Bear | Novelists 5Pm,,,Modern Alibi | SOur Magic 7PM,,,,Himalayas | Cherokee Social | Peak 117PM,,Sir Richard Bishop (Sun City Girls) | Debaser | Eli Wendler | Flaming Tongues Above  7PM,,,,,,,,,,Flooding | Fainting Dreams | Clove 7PM,,Cosmic Kitten | Team Nonexistent | Ripcords 7:30PM,,,,,,,,,,Outta Pocket | Fatal Realm | Ukko's Hammer | Warmachine 6:30PM
6/23,"""Weird Al"" Yankovic | Puddles Pity Party 7:30PM",,,,,,,,,,,Monolord | Mizmor  | Ghosts of Glaciers 7PM,Billy Bob Thornton & The Boxmasters | Fran moran & The Nervous Wrecks  8PM,Squid Pisser | Victim Of Fire | Cop Killer 7PM,,,,,,,,,,,,,,,,The Warsaw Poland Bros | The Worn Outs | LMS 7PM,,,,,,
6/24,Ziggy Marley | Stephen Marley | Buju Banton 6Pm,,,,,,,Redferrin | Payton Sullivan 7PM,,,,,Joshua Slone | Jake Minch 7:30PM,Family Worship Center | Smoker Dad | Jesus Christ Taxi Driver 7PM,,,,Shelby Stone | The Gray Jays 7PM,,,,"Armor For Sleep, Spanish Love Songs, Flycatcher 6:30PM",,,Bug Hunter | The Narcissist Cookbook 7PM,Bitstream Bleed | Majona | HALF MOON | Four Star Grandpa 6:30PM,,,,,,,,,,
