,Red Rocks (AXS),Fiddlers Green (AXS),The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,The Black Box
4/21,Ethel Cain | 9Million 7PM,,,Cobrah 8PM,,,The Wedding Present | Mark Robinson sings Unrest 7PM,Brigitte Calls Me Baby | Skorts 8PM,,Slomosa | The Mainliners 7PM,,,,,,,,,,,Nini | Starwraith | Thundersail 6:30PM,,Paul Gilbert | Greg Koch 8PM,,,Cydeways | The Irie | Native Leaves 7PM,Black Violin 7:30PM,,,,,"Sub.mission Electronic Tuesdays: GHAST. Weekly DJ Battle - Philo, Skrrtsace, Pulsiv 8:00 PM"
4/22,Dustin Lynch | Chase Rice 7PM,,Behemoth | Rotting Christ | Deicide | Immolation 5:30PM,Oklou | Vickie Cherie 8PM,,,,Model/Actriz | Agriculture 8PM,,Drugdealer | Josh da Costa 7PM,,,,Father | Ethereal | Isiah Michael Davis | The WHite Moms 7Pm,,,,,,Cold | University Drive 7PM,,,Terror | Pain Of Truth | End It | Ingrown | Start Today | Mask 6Pm,,,,,,,,,
4/23,Hedex | Cyclops | Mythm | Gardella | St. Mary 6PM,,,Snow Tha Product 7PM,Disclosure Live | Chloe Robinson 8PM,Shadow of Intent | AngelMaker | Mental Cruelty | Synestia 6PM,Natascha Polke | Koppo 8PM,Maya Hawke 8PM,,,,Packaging | Flutter | D.B. Trooper 7PM,,,Dancefestopia: Yellow Brick Road Tour 7:30PM,Grass Ceiling | Avasso | Swift Current 7PM,Nether Hour | Jesus Christ Taxi Driver 8PM,,The Brudi Brothers | Meels | Aubrey Dale 8PM,DeVotchKa 7PM,Vomit Forth | Your Spirit Dies | Cronos Compulsion | Lacerated 6PM,Ashes to Amber | Nature TV | Gestalt 7PM,,Mildew | Rubber Puppets | Hopebound | MadCap 7PM,Biffy Clyro | RAUE 8PM,,Helloween 7PM,,Solar Garlic / Pet Traits / BANDAGE 9Pm,"Lioneer, Hailes Ghost, Stray The Course, Gavin Prophet 8PM",,"Dylan Brady 9:00 PM    Matriarch Music Presents: Cellenight, Lunexa, and 9inetyfine featuring Preshow DJ Workshop with Mayyden.Voyage 9:01 PM"
4/24,Koan Sound | Effin | DENNETT | Rohaan | KLO 6PM,,BLESSD 7PM,MOE. 8PM,Disclosure Live | Todd Edwards 8PM,Drinkurwater | Chibs | Ruvlo 8PM,,Vincent Neil Emerson | Kade Hoffman 8PM,,ford. | Olan 7PM,,Products Band | Totem Pocket | Angel Band | Spirit Sedan 7PM,,Poldoore & Ours Samplus | Pure COlors | Solflower 8Pm,Felix Cartal | Kas Tha III | Her Mans | One Cent 7PM,Niko Rubio | Francois Fuqua | Monica The Great 7PM,Ben Harper & The Innocent Criminals 8PM,OH WONDER | WRABEL 8PM,,The Brudi Brothers 7PM,,The Back Alley | Ronjo V 7PM,He Is Legend | Fateseeker | A Lot LIke Birds 7PM,Mr. Shrimp | Alicia Glass | Keddjra 9Pm,,Total Flower Chaos | Mindless Vitality | The Sound Industry 7PM,,Lost Relics | Sonolith | Lord Velvet | Violet Rising | Hibernaut | Vashon Seed 6PM,Blank Slate / Model Enterprise / Virgina Mary Pistol Grip 9PM,"Yung Kell, Flowers for You, Wulfsun, COLLUR, Popmonst3r & Imaage 8PM",,"An Intimate Evening with DMVU + Prosper. 9:00 PM    Bandito Jones w/ Sweet Boi, Reference Track 9:01 PM"
4/25,Alesso | Lost Frequencies | Surf Mesa 7PM,,,MOE. 8PM,Disclosure Live | Jadalareign 8PM,,Twin Diplomacy | Duer 8PM,Vincent Neil Emerson | Kade Hoffman 8PM,,Unprocessed | ALLT | Midwinter 7PM,,Ritmo Cascabel | Jairito y la Onda | Sour Magic 8PM,Mr. Bill | Skope | Frequent | Undulae 8PM,Satsang w/ Joey Harkum 7PM,The 12th Story | Geek USA | Dance On Fire 3PM,Call Me Karizma | Jady 7PM,Ben Harper & The Innocent Criminals 8PM,,,Zero 9:36 | Downswing | Relate. 7PM,Defeated Sanity | Vulvodynia | Organectomy | Excrescence 6PM,Noah Guy | Brandon 7PM,Lebanon Hanover w/ SOFT VEIN  8PM,Lu Lagoon | New Misphoria | Animal Future 8PM,,,,Cobranoid + Blue Heron + Luna Sol + Godzillionaire + Buzzard Fight | Psalm 6Pm,The Etiquittes 9M,,,"Dub Den Records Dual Room Takeover: Dizzy!, Sami Knox, Dumpling, Eylxr, and Collective Unity 004 9:00 PM"
4/26,Bob Moses | Cannons | Oxis 6:30PM,,,,,Ari Lennox | Lekan | Phabo 7PM,,Ben Harper & The Innocent Criminals 7PM,,lou deezi 7PM,,,,Nether Hour  w/ Special Guests 7PM,Paper Moon Conspiracy | Calm. Sun Jr. | 100lb Housecat 4PM,Pagan Lust | The Bailouts | Lunarscape 4Pm,,,,,"Vampires Everywhere | The Bunny, The Bear | Apocalypse Born | Scars Over Graves 6PM",Doom City Drifters w/ Mr Know It All + PPL PLZR 4PM,,,,,,Black Moon Cult + Shadow of Jupiter + Messiahvore + Black Sunrise | Electric Condor 1PM,,"Sundressed, Thanks! I Hate It, Benched. 8PM",,Sunday School: Sound Design w/ Skope 4:00 PM
4/27,,,,,,,,Grace Ives | Whu Else 8PM,,Lou Deezi 7PM,,Ally & Ryan | Trash Canyon | The Red Stare 7PM,,"Joey Porter’s Vital Organ Ft. Neal Evans, Garrett Sayers, Caton Sollenberger 7PM",,,,,,,,Rec Hall | Summerdrive 7PM,,,,,,Local 303 meetup w/ Jesus Christ Taxi Driver 6:30PM,,,,
4/28,Lewis Capaldi | Joy Crookes 7:30Pm,,Josiah Queen w/ Jervis Campbell + Gable Price 6:15PM,,,,,femtanyl | Bejalvin  8PM,,Skizzy Mars | Devvy Dub | Yung Delirious 7PM,,Loolowningen | Cherry Spit | Replica City 7PM,,,Twin FIn | Blind Eden 7PM,Dead Meadow  | Cory Shane | Spade 7PM,,AFI | Choir Boy 8PM,Ben Harper & The Innocent Criminals 8PM,,Rosegarden Funeral Party | Faces Under The Mirror | Witch Hands 6:30PM,,Jason D Williams | Poudre Valley Playboys 8PM,,Pentagram | Dusted Angel | Lost Relics | Riff Dealer 7PM,,,,,,,"Sub.mission Electronic Tuesdays: Qilin. Weekly DJ Battle - Cyan Yellow, Witton, Ew 8:00 PM"
4/29,Lewis Capaldi | Joy Crookes 7:30Pm,,,,,BADBADNOTGOOD | Cleo Reed 7PM,,Powfu | Jomie | Ouse  8PM,,Taylor Austin Dye 7PM,,Remember Sports | Youbet | Dollpile 7PM,,,Field Medic | Beaming 7PM,,Velvet Daydream | Sunkissd | The Speeks | Red Revival 7PM,,,The Black Dahlia Murder | The Acacia Strain | Disembodied Tyrant | Corpse Pile 6PM,Drifting Roots | Ghost.Wav (Solo Acoustic) 7PM,,,First Church of The Last Days | Fables of The Fall | The Rival Ghost 7PM,,,,Mismiths + Pretty in Pink + Chili Powder 8PM,,,Diaphane | Flesh Tape | Cult Communion | Monkey Man 7PM,
4/30,Electric Callboy: Tanzneid | Polaris | Scene Queen 7PM,,,The Growlers 8PM,,,,,,,,Cursing | Snakes of Russia | Voight | Vox Mnemonic 7PM,"SHIFT Ft. Twopercent w/ Schmux, Luke Petruzzi, CHOMP 8PM",SHIFT Ft. GOOSEBUMPZ | Eastwood Red 8PM,Montycler | Milla b2b Monji Wesley Mack | RVGGZ 7PM,Kat Lane | Bridger Teton | Hollow Head 7Pm,,, Phoneboy | Heart Attack Man | Slow Joy | Pony 6:30PM,Taylor Austin Dye | Noah Daniel 7PM,Toaster Bath | Build The Gallows | Noise Retreat | Rat Napkins 7PM,Macie June and the Reverie | Gabrielle Sophia | PSITSIZZY | Genevieve Libien 7PM,,,Kelly Willis | Odessa Rose 7PM,,,,,"Hand Turkey, Phooey, Corgi Cartel 8PM",,"Sub.mission presents: Pharma (USA Debut), OldGold, MOJO 9:00 PM    Couch Lock Collective - Lounge Sessions: Wintler, WizDumb, Ew x Sword In The Stone, GeezyDubz. Visuals by Synthezist 9:01 PM"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18300 w alameda PkWy,6350 greenwood Plaza Blvd,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,2106 e platte Ave,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weekly Playlist 4/19-4/25,Mega Playlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weekly Playlist 4/26-5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Will Update Again on Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
