,Red Rocks (AXS),The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,Paramount Theatre,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ
2/13,,Dark Star Orchestra 7PM,Magic City Hippies | Supertaste 9PM,The Martinez Brothers | Wakyin | Two S 9PM,Colors Presents R&B Only 8PM,Danceportation 9:30PM,Rossy 9PM,,Yung Bans | Hezzo | Sheed Dicaprio 8PM,Sons of Legion 9PM,Plastik Mystik | Cherry Spit | Pale Sun | Soneffs 7Pm,"Taiki Nulight w/ Casey Club, Untitld, LYQD – 360 IN THE ROUND 8PM",Daniel Rodriguez w/ LVDY 7PM,Best of Both Worlds | The Temper Tantrums | Tiny Ghosts 5PM,Stil Runnin | The Pretty Shabbies | Gangstead | Stationery Shop 7PM,,The Record Company | Jontavious Willis 7:30PM,,,MANIA: The ABBA Tribute 7:30PM,Darconigan | The Rising Plague | Cruxvae 7PM,Dr Lunch | Brittany Bridgewater & The Sparks | Occam's Rose | Jack Campbell & The Head Mess 7PM,Emo Kids 8PM,Rootbeer Richie & THe Reveille present: Mambo pre-party ft. Shadow Work | Flutter | Jaguar Stevens 7PM,,Royale with Cheese | Winter Wolves | Flannel Sheets | Medium Serious 7PM
2/14,,,Rootbeer Richie & THe Reveille | Ghost Funk Orchestra | The Mananas | Dogtags 8PM,Wreckno & Super Future | OnHell | Mindset | Two Girls One Laptop 8PM,,,,,Gimme Gimme Disco 8PM,,,Dumpstaphunk | Joey Porter Trio 7PM,Hot Buttered Rum | Tonewood String Band 7PM,Hana Eid | Claire Heywood 4PM,Cosmic Beach Resort | Toucon | Makadu | Satellite Friend 7PM,Daniel Rodriguez | LVDY 8PM,DeVotchKa 8PM,Snow Day | Kevin? | Ember | Planet Claire | Freaky Stella 8PM,"Moth Season, Anaideia, Noise Resort, & DJ Gabe from the Future 7PM",Matt McCusker 7PM,,Mr. Knobs | Yan Yez | Espiaille | Neo Tokyo Philharmonic 7PM,,Roady Pony | Rigby Summer | Xanthe Alexis 7PM,Gentleman Deluxe | The Schofields | Scooter James | Micah and the Mirrors | Silver West 7PM,
2/15,,,,Freya Skye | Adrian Lyles 7PM,,,,,,,,,The Kids | 86Love | Dimitri Onixx | Redeyez | Double Dose | Ultaxviolet 6PM,Milk N' Fox | Nikki Z | Kamfield | Underswell 4Pm,Frowntown Disco | Burning Silence | Soulherder 4Pm,,,,,,,Braden Bales | Erza 7PM,Ronnie Baker Brooks | Erica Brown's Big Mama Thornton Project Acoustic 7PM,,,
2/16,,,,,,Summer Salt | Boyscott | Wabie 7PM,Weval | Cerval 9PM,,,,All Out Attack w/ DJ Mentl | DJ Fatal Wave (Free) 8PM,,,,,,,,,,Exhorder | Luicidal | Phobia | Slowhole 6:30PM,,,,,
2/17,,,,,,,,,,,,Fox Stevenson w/ Yue 7PM,,Haffway | Ryman 7PM,,,,,,,Fire From The Gods | For The Fallen Dreams | VRSTY | Divide THe Fall 6PM,SosMula w/ Ricky Hil | Ace Shadows 7PM,,,,
2/18,,,,,,,Samm Henshaw | Wellington Bullings 8PM,Ricardo Arjona 8PM,,,,,,,Tyler Nance w/ Tristan Trincado 7PM,,,EAZYBAKED | Digital Ethos | Moogy 8PM,,Mac MacAnally 7:30PM,,,,,,
2/19,,,,,,,Bryce Vine | Out In Front 8PM,,Beauty School Dropout | NIGHTBREAKERS 7PM,,Savage Master | Viper Witch | Carnal SIns | Chamber Mage 7Pm,,Shift ft. Nueq | Sylph |  Omnust | Caved 8PM,Downhill Dos | Wulf Rayet | Cd Project | Ms. Vicious 7Pm,Clover County | Ethansroom 7PM,,,,,Clue Starring Lesley Ann Warren 8PM,Manidoo | Clementine | Color Ache | The Sweet Reliefs 7PM,Kites in Lightning | Judith Hindle | TPRA 7PM,,,,
2/20,,,Cool Customer | K+Lab | Two Guys | Freq 7PM,BIGXTHAPLUG | Smino | Mick Jenkins | Pawpaw Rog 6:30PM,,,Hayes Carll | Ryan Montbleau 8PM,,,,Taraneh | Warper | Tassles 8PM,Sunny Rave: Denver w/ DJ Pressed 9PM,Pimps of Joytime | Gio Chamba 7PM,,AJ Lee & Blue Summit | Foggy Mountain Spaceship 7PM,Young and Dead ft. Liquid JPEG Light Show 8PM,"Atmosphere w/ Sage Francis, R.A. the Rugged Man, Kool Keith, DJ Mr. Dibbs 7PM",,,Zachariah Porter 8PM,Coroner | Heather | Acid Sentence | Aligned in Ruins 6PM,Box State | Pseudocrush | The Orca 7PM,Message in a Botle 20th Anniversary 8PM,Rowboat | Loose Charm | Owosso 8PM,Steel Society | Driven By Turmoil | Voodoo Rock Machine 6:30Pm,Null & Void | Bicycle Day | Tinnitus 7PM
2/21,,,,Sidepiece | Trace | Dansyn | Dave Summer 8PM,,,Whitney Hanson 8Pm,,Hayden Coffman | Lane Smith 8PM,The Record Company | Jontavious Willis 8PM,Dressy Bessy | The Tammy Shine | Hotel Wifi | Cribbo 8PM,Swiming Paul | Faculty Club | Her Mans 8Pm,Pickin' On The Dead ft. Bridget Law of Elephant Revival w/Special Guests 7PM,Clay Pot Pigeons | Rubber Puppets | The Smokin' Nuts 4Pm,Look at Fiona. | Tiny Tomboy | Bellhoss | Grady Mathison 7PM,DENNETT | PAPAJAY | DUBV 8PM,,,,Michael Carbonaro 7PM,,End of Eternity | Our Darkest Sin | Partialist | Them Heavy Stones 7PM,,Blööd Ôath | Low Blow | Spirit Sedan | Hodick Cut 7PM,Sack | MF Ruckus | Cobranoid | Cleaner 8PM,Layers | Dirty John | Mr. Fungi | Purple Sweat 7PM
2/22,,,,,,,,,Nathan Evans & The Saint PHNX Band 7PM,Clipping. | Open MIke Eagle | Cool Prongs 8PM,,,,Joe Teichman | Noah Daniel | Amanda Nicole 4PM,Damien Jurado | St. Yuma 7PM,The 502s | harf. 8PM,,,,,,Annika Wells | Rachel Bochner | Lyncs 7PM,,,,
2/23,,,,,,,,,,Black Pistol Fire | Pink Fuzz 8PM,,,,,Schur | T Biscuit 7PM,,,,Rivers of Nihil | Thirteen Plagues | High Fells | Usurpation 6PM,,,,,,,
2/24,,,,,Monolink | Parallelle 7PM,,Ruston Kelly 7:30PM,Bad Omens | Beartooth | PRESIDENT 7PM,,,,,,,Schur | T Biscuit 7PM,Daniel Donato's Cosmic Country 8PM,,,,"Vitamin String Quartet: Billie Eilish, Bridgerton & Beyond 7:30PM",The Queers | The Frickashinas | Record Thieves 7PM,The Ramona Flowers | Holdfast. | Rene Moffatt 7PM,,,,Strawberry Fuzz | Fake Dad | Idle Freaks\ 8PM
2/25,,,The Devil Makes Three | Lightnin' Luke 8:30PM,,Lights | Softcult 7PM,,Emery | As Cities Burn | The Classic Crime 7PM,,,,,,,,,,Daniel Donato's COsmic Country 8PM,,The Queers | The Sleights | Discount Vodka 7PM,,,,,Branson Anderson | Tyler John Kraehling 7:30pm,,
2/26,,,Badflower | Point North | Olive Vox | Analog Amara 7PM,,,,,,Jeremy Jordan w/ Age Of Madness | HRZN 7PM,Badflower | Point NOrth | Olive Vox | Analog Amara 6:30PM,Mouthful | Dry Ice | Supermoon 7PM,**SOLD OUT** Whethan 8PM,"SHIFT Ft. Indobeats & Kuhlin w/ Twizzled, Inquuit b2b Ribbbit, DripDrop 8PM",Meeks | Evol | Soma | Pink Lemonade 7PM,Jackson Cloud | Phoebe Nix | Lola Rising 7Pm,RIOT | Beanz | Slick Portal 8PM,Daniel Donato's COsmic Country 8PM,Penelope Road | Benny G 8PM,,,Belphegor | Incantation | Hate | Narcotic Wasteland 6PM,Vulgarian | Violent Testimony | Berated 7PM,,,MDC | The Elected Officials | Poison Tribe | Shit Drugs 7PM,
2/27,,,Gogol Bordello | Puzzled Panther | Boris and the Joy 8PM,Drama | Amtrac | Blank Sense 8PM,Donny Benet | Fred Fancy 7PM,umru | Petal Supply 8PM,KPOP Club Night 8Pm,,Glitterer w/ Graham Hunt + Prize Horse 7PM,DENM | Evening Elephants | Obed Padilla 8PM,Clusterfux | Prescription | Arson Charge 8PM,**SOLD OUT** Whethan 8PM,George Porter JR. | Runnin' Pardners and the Breaks 7PM,,Noah Rinker | Adam Simon 7PM,Penelope Road | Benny G 8PM,,RIOT | Ridence | Klauser | Karnage 8PM,Irah Nox | Lucked Out | Playn For Keeps | Hard To Kill | Bangalore 7PM,Michelle Buteau 7:30PM,Angelic Desolation | Let Them Burn | Hester Mofet | Ashes & Philth 7PM,Phooey | Moonradish | Enso | Saved By Aliens 7PM,Corduroy - The Pearl JAm Experience 8Pm,Pleasure People | Jackson Holte Band | /Toms 7:30PM,,Wheel | Sound & Shape | Biting Bullets 7PM
2/28,,,Franc Moody | Pure Colors 8PM,Maddy O'Neal & Tokimonsta | Mary Droppinz 8PM,,VCTRE | Copycatt | Just Neeks | Milla  8PM,Telykast | Amel | Charlie Wonder 9PM,,,,Triptides | Honey Blazer | Sour Magic 8PM,JKLY & HYDE | Beastboi. | SNAXXX 8PM,George Porter JR. | Runnin' Pardners and the Breaks 7PM,,,TAUK | Sqwerv 8PM,All Them Witches with King Buffalo 8PM,The Devil Makes Three | Lightnin' Luke 9PM,JayDubbthaRuler 7PM,Gary Owen 8PM,Suicide Cages | Talking Point | Irah Nox | Circling Over | Mood Swing Misery 6PM,Bruha | Rugburn | Obsidianos | Jommy 7PM,El Tributo - Pedro Suarez-Vertiz 8Pm,The Past Year | Precocious Neophyte | THEATER 8PM,"Tributes to Coldplay, Oasis, Gorillaz, Radiohead, Muse + more 6:30PM",Lew Sid | DvNeHppy | Vitorio | Monica The Great | Chris Cart3r 7PM
,,,,,,,,,,,,,,,,,,,,,,,,,,
,18300 w alameda PkWy,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,,,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,,
