,Red Rocks (AXS),The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Ford Amphitheater,Fiddlers Green (AXS)
3/17,,,,,Sabrina Claudio | Dylan Sinclair 7PM,,,,Dark Divine | Not Enough Space | Save Us | Set For Tomorrow 6PM,,,,Aries w/ Tiffany Day 7PM,St Badies Day | Outlier | Ace One 6PM,,,Emmet Cohen presents: Miles and Coltrane at 100 8PM,,,,,,,,,,
3/18,,Mariah The Scientist | 4batz 7PM,,,Testament | Overkill | Destruction 6PM,,,,ALEXSUCKS | Dogma Society 7PM,,,,,,,,,,,,,,,,,,
3/19,,,,,,,The Thing | Jesus Christ Taxi Driver 8PM,,Lithe | Lyfe Harris 7PM,,Totem Pocket | Soneffs | Aratik 7PM,,Shift ft. Flozone | Cozy Kev | Augment | Monji 8PM,2charm | Abrii | Vyblossom 7PM,The Spooklights | Vivian Oblivion | Justus Lacewell 7PM,Daft Floyd | The Buzz | Kevin Band and The Long Echo 8PM,Matisyahu 8PM,Shadowgrass 8PM,The Lowdown Drifters | Graveyard Choir 7PM,Vitrify | Stone Disciple | Ghost Of The Sun 7PM,As Of Today | Opal Grove | Clove | Major League Sex 7PM,,Seven Teller | Kirk Larson Trio 7:30PM,Bill Frisell 7PM,,,
3/20,,,Distinct Motive | Chef BoyArBeatz | Neffa T | XI 8PM,The California Honeydrops | The Brothers Comatose 8PM,White Reaper | Death Lens | Drug Church | Spy 6PM,Ookay | Grimecraft | Tokiyoh | Macefacekilla 8PM,Grieves | Benz Shelton | Blueprint 8PM,,"Dream, Ivory | Rew 7PM",,Buzz Kull | Black Curse | Impure | Rosa Anschutz | Blone Noble 7PM,KWN 7PM,Houseplant | Orca 7PM,Mathame 8PM,Dizgo | Lula Granji 7PM,Shadowgrass 8PM,Nick Lowe | The Cactus Blossoms 8PM,,Kellen Smith | Raina Wallace | Noah Daniel 7PM,,Post/War | Borrowed Feathers | Public Picasso | Family Dogs 7PM,,Gestalt | Buckets | Chase Cavanaugh 8PM,,Sea of Flame | Orbital Destroyer | Boozifer | Docter Nez 7PM,,
3/21,,Boys Like Girls | Arrows In Action | iDKHOW 6PM,Nurko | Leuthero | Loxion 9PM,The Floozies | Thought Process | The Sponges | Homemade Spaceship 7PM,BARELY ALIVE | Tisoki | Edison Cole 8PM,,Muzz | Downhill Dos | Nvoke 9PM,,EMM | Bentley Robles 7PM,Eddie 9V | O'Connor Brothers Band 9Pm,Lily Seabird | Hemlock | Clementine Was Right 8PM,1TBSP | Soltera | Roman Ivan | Mr. Frick 8PM,The Hip Snacks | The Psycodelics | Wild Love Tigress 7Pm,Torso man | Eve Coffman | Shae Volz 4Pm,Dizgo | Samso 7PM,Jonah Kagen | Anna Graves 8PM,,Grieves | Blueprint | Benz Shelton | I In Team 8PM,,,Ufer | Younger Than Neil | Battle For Alaska | Wiji Moma 7PM,Fly FIshing FIlm Tour 5PM,Bad Self Portraits | Bellhoss | Mofie 8PM,,Driven By Turnmoil | Metal Disorder | Twisted Escape | Transmutation 7PM,,
3/22,,,,,,Kitty Craft | The Tammy Shine 7PM,,,Emily King | LVDY 7PM,,,,,Fust | Merce Lemon | Walker Rider 7PM,Happy To Be Here | Rock N Roll Is Dead | Lylas 4PM,,Solas | Moors & McCumber 8PM,Tophouse | Wheelwright 8PM,,,Victor Jones 7PM,,Maggie Halfman | Ryan Joseph | Keddjra 7:30PM,,Sugarloaf Take 2 | The Regular | Dutchman 7PM,,
3/23,,,,,,,Quarters | Porch Light 7PM,,,,,,,,,,Evan Honer | Sam Burchfield 8PM,,,War on Women | Oceanator | Cop Killer 7PM,Chrissy Chlapecka | Thatkid | Slajer 7PM,,,,,,
3/24,,,Evan Honer | Sam Burchfield 8PM,,,Ben Quad | Aren't We Amphibians | Footballhead 6PM,,,mclusky | Cherry Spit 7PM,,Willa Mae | TIny Tomboy | The Drawn Out 7PM,,,Ally Nicholas | Team Nonexistent 6:30PM,Skorts | Diva Cup | No Fauna 7PM,,,,,Pump Action | The Retrograde | Mach Jesus 7PM,Spoon Benders | The Crooked Rugs  | Night Fishing 7PM,Bryce Crawford 7PM,Kiss The Tiger | Blankslate | Soneffs 7PM,,,,
3/25,,Slaughter To Prevail | Whitechapel | Attila 6:30PM,,,,,HR (of Bad Brains) 8PM,,The Sloppy Boys 7PM,,,Ruel | Mercer Henderson | Chelsea Jordan 7PM,,Chalk | Ultra Lick | Vegan Gore 7PM,Gully Boys | Chaarm | The Rough TImes 7PM,Elise Trouw | Circling Girl 8PM,The High Kings 8PM,,Teenage Bottlerocket | The Dopamines | Sam Russo | The Sleights 7PM,,,,,Band Of Skulls | Ghostwoman 7PM,,,
3/26,,,,St. Paul & The Broken Bones | Tyler Ballgame 8PM,,,Charlier Parr | The Lowest Pair 8PM,Peso Pluma | Tito Double P 8PM,Yellow Days | Rue Jacobs 7PM,The Early November | Hellogoodbye 8PM,,,Shift ft. Contra | Abstrakt Sonance | Tunic | D:Form 8PM,Peacekeeper | Ctrl+M | Jamzbond | Meegz | Cubix Rube 7PM,Cece Coakley | Beatrix 7PM,,The Menzingers | I Am The Avalance 8PM,,Valley Flower | Zara Alexandra 7PM,Tejon Street Corner Thieves | Yes Ma'am | Little Foot 7PM,Tokyo Tea Room | Kovoho (Sold OUt) 7PM,,Scoochie Boochie | Baileyrp 8PM,,,,
2/27,Crankdat | Dr. Fresch | Smoakland | Capochino | HerShe 7PM,Lamb of God | Kublai Khan TX | Sanguisugabogg | Fit for an Autopsy 5:30PM,Yheti X Lespecial X Liminoid | 3420 7PM,Gov'T Mule 8PM,Eidola | Astronoid | Nerv 7PM,Atlas Radio | Splendid Blend 7PM,Red Leather | The Romance 8PM,,Pity Party (Girls Club) 7PM,,Shepherd | Tainted Blade | Scepter of Eligos | Vitrify 7PM,Tinzo + Jojo | Raecola – 360 IN THE ROUND 8PM,Blink180TRUE (Blink-182 Tribute) w/ The Original Pranksters (Offspring Tribute) 7PM,Jason Schmidt | Haven Madison 5Pm,Valley Flower | Zara Alexandra | Mighty Holler 7PM,Banshee Tree | Riley J Band 8PM,Bad Suns | The Undercover Dream Lovers 8PM,STATIC CITY 8:30PM,HE$H | Mongrel 8PM,,In Plain Air | Tidepool | Faye | Little Bessie 7PM,Dale Watson and His Lone Stars 8PM,Black Pontiac | Sunfish | Idle Freaks | Bitchflower 7PM,,Kash'd Out | Beach Fly | A-Mac 8PM,,
3/28,Ravenscoon | Jantsen | jason Leech | Noetik | DEV 6Pm,Melvin Seals and JGB | Pink Talking Fish | Steely Dead 6PM,Circles Around The Sun | Squeaky Feet 8PM,Ashnikko | Princess Nokia 8PM,The Devil Wears Prada | Four Year Strong | Split Chain | I Promised The World 6PM,,49th & Main 9PM,,Steinza | Hudson Ingram | Wormy 7PM,Ravenscoon | Jantsen | Foxx 11:59PM,Big Pinch | Undisassembled | Plastik Mystik 8PM,,Deadhead Disco 9Pm,"Espiaille w/ Sibyl Vane, Boys with Blue + Sage Violet 3PM",Couch Dog | Bruha | Liquid Chicken 7PM,Los Amigos Invisibles | LuKo 8PM,The Happy Fits | BEL 8PM,Bad Suns | The Undercover Dream Lovers 8PM,Red Leather | The Romance 7PM,,Pearly Drops 7PM,,Zealot | Twin Archer | Charles & The Oddity 8PM,Teenage Bottlerocket | The Dopamines | Sam Russo | Bricheros 7PM,Stop The Presses | Stuck Luck | Los Domingueros | LMS | Dammit Jim 7PM,,
3/29,,Sticky Fingers 7PM,THe Wonder Years | Knuckle Puck | Initiate 7PM,,Mella | Thorn Haven | Circling Over 6PM,,Landon Conrath | Abby Holliday 8PM,,Angel Du$t | Home Front | Beton Arme | Odd Man Out 6PM,,,,,Karly's Basement | The Smokin' Nuns | Flail | Ella Jackson 4PM,Radium Dolls | Carson Daniel | Stovetop Gemini 7PM,,,Los Amigos Invisibles | The Latin Groove 7PM,Circles Around The Sun | Bobby Lee | Joe Harvey-White 7PM,,Episode 3 | Super 8 | Folded Face | Oatmilk 4PM,I See Stars | Mothica | Until I Wake | Diamante! 7PM,runo plum 7PM,,,,
3/30,,FKA twigs | Brutalismus 3000 6:30PM,,,Machine Girl | Sextile | LustSickPuppy 7PM,,Mind Enterprises | Jack Hamlin 8PM,,Night Cap | Flight By Nothing 7PM,,Ulrika Spacek | Barbara | Prairie 7PM,,,,Liz Cooper | Wes Parker 7PM,,,,I See Stars 6PM,,Moontower | Slow Caves 7PM,Dark Tranquillity | Soen | Persefone 7PM,Indie 102.3  Local 303 Meetup ft. Jordan Burgett | Residing Elsewhere | babybaby4ever 6:30PM,,,,
3/31,,,,,Lacuna Coil | Escape the Fate | VOWWS 6:30PM,,,,Naika | DJ Nalee 7PM,,The Belair Lip Bombs | Dust | Laveda 7PM,,,Clarion | Forest | Bed 7PM,Bay Faction | NUFFER 7PM,,,,Obscura | Allgaeon | Cognitive | Cryptosis 6PM,,Dear Maryanne | Equipment | Arcadia Grey 7PM,,Flattop Rider and Chelsey Webb 7:30PM,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18300 w alameda PkWy,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,2106 e platte Ave,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,,,95 spectrum lp,6350 greenwood Plaza Blvd
