,Red Rocks (AXS),Fiddlers Green (AXS),The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,The Black Buzzard,Ford Amphitheater,7th Circle Music Collective
11/22,,,,,,,,Jervis Campell 7PM,Journey 6PM,,,,,,,,,,,,A Killer's COnfession | Dizasterpiece | Dead Things 6Pm,,,,,,Outlander in Concert 7PM,,,,
11/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24,,,,,,,,,,,,,Jalen Ngonda w/ Brooke Combe 7PM,,,,,,,,,,,,,,,,,,
11/25,,,,MADVKTM 8PM,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27,,,,,,,,Costa 9PM,,,,,,,,,,,,,,,,,,,,,,,
11/28,,,Big Head Todd & The Monsters | Isaac Slade 6:30PM,,EPTIC | HABSTRAKT b2b Nitepunk | Sora | Kotrax 9PM,Senses FAil | Koyo | Initiate 6PM,,Costa 9PM,,,,,"Phyphr w/ Miilk, Blossm, Xenolinguist, Samso 8PM","Neumonic w/ Villain Era, Frostbyte, SHORDY. 8PM",,,,,,,,,,,Boston Manor | Ben Quad | Super Sometimes 6:30PM,,,,,,
11/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30,,,,,Alter Bridge | Big Wreck | Tim Montana 7PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18300 w alameda PkWy,6350 greenwood Plaza Blvd,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,2106 e platte Ave,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,,3295 s broadway,,404 N broadaway,1624 market st,95 spectrum lp,2935 w 7th ave
