,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Tavern,Ante Up
7/11,The Avett Brothers | Asleep At The Wheel 7:30PM,,,,,,The Church - The Singles 1980-2025 7PM,SIAMES 7PM,,,,,Shwarma | Witch Bitch | night Fishing | Icarus 8PM,,B-Side Players & Gio Chamba w/ Selecta Jayrawk 7Pm,2 Seconds To Denver w/ Die Like Bothans + Orbital Destroyer 3PM,Harvey Street | The Dirty Turkeys | Jackson Cloud 7PM,,,,,,,,Plastic Nancy | Blood Oath | Moonshake 8PM,"Infinite Sadness Tour: Tributes to Smashing Pumpkins, Garbage, and Chris Cornell w/ Geek U.S.A., Trash & My Wave 6PM",Sin on Six | Blood Lilith | Let Them Burn | Less Than Perfect 7PM,El Pueblo De Uno 8PM,Longleggss | J.D. the MC | Wulf Sun | NOAH BALBOA | OZ 7PM,,,,Andy Frasco & THe U.N. | The Cultet 6PM,Soulherder | Aphotica | Aligned In Ruins 8PM,
7/12,The Avett Brothers | Graham Nash 6:30PM,,,,,,,,,,,Max Cooper 7PM,,Chris Travis 7PM,,Bliss Wilder | Gaelen Crowfoot | Treeline | Peach Bruise 4PM,Melanie MacLaren w/ Caspar Milquetoast + Marty Nation 4PM,,,,,,"Blashkora w/ Two If By Sea, Guise of a Demon + Ted Dancin’ 4PM",,,,,,Mason's Children 5PM,,,,Black Uhuru | The Itals | AL's HWY50 |Zivanai Masango 4Pm,Whitney Fenimore | Watson Is Real 7PM,
7/13,FOTR Little Miss Sunshine pre-show performance by Wheelchair Sports Camp | DevotchKa 6:30PM,,,,Chance Pena | Hans Williams 8PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14,Kaleo | Elle King 7:30PM,,,,Chance Pena | Hans Williams 8PM,,Hatebreed | Devourment | Snuffed on Sight | Balmora | Face Yourself 4PM,,,Daniel Caesar | Faye Webster 6:30Pm,I Promised The World | Rosasharin | Guilt | athousandangelsandseven 6PM,,,,,Riley! w/ Kerosene Heights | bugsy | Skiimo 7Pm,Pinknoise | Edith 7PM,,,,,The Word Alive | Not Enough Space | Downswing | Code:Words 6Pm,,,,,,,,,,,,Deadharrie | Viewfinder 7PM,
7/15,The Head and The Heart w/ CO Symphony | Evan Honer 7:30PM,,,,,,,,,,,,Sugar Candy Mountain | Wave Decay | Amlamas 7PM,,,,,,,,,Pinata Protest | Roka Hueka | Dammit Jim 7PM,,,Tony Hannah | Roger Ramsey | Extra Gold 7:30Pm,,,,,,Max Meisel - Stand Up Comedy 8PM,Manny | Obsidianos | Color Ache 7PM,,,
7/16,The Head and The Heart | Wilderado 7:30PM,,,Lee Brice | Grace Tyler 7PM,,,,Dr. Gabba | Mr. Frick 8PM,Lakeview | Cody Cozz 8PM,,,,,"SHIFT Ft. VNDETTA w/ Mocha, LOZER, StarSearch 8PM","Untz is Dead ft. Allen Aucoin, Dylan Teifer, Elie Herzog, Fleeb Thomas | Wattsananda 7PM",Hi I'm Ghost | Whoisee B2B Strangers | Nekronix + Wikked 7PM,Larceny | Regretfully Polite | Suppatime Band 7PM,,,Moosch | Ian Foster Band 8PM,,,JZAC x Dylan Owen w/ BEAMIN 7PM,,Ultraviolet Communication | King Crawdad | Chroma Lips 8PM,,,,,,,,,,Iced Wrist | Playn For Keeps | Among The Bodies | Ransom Note 7PM
7/17,The String Cheese Incident | Clay Street Unit 6PM,,,,,,,,,,I Set My Friends On Fire | Strawberry Girls | Current COmfort | Mrs. Nezbitt 6PM,,The Body | Big|Brave | Many Blessings | Fainting Dreams  8PM,**SOLD OUT** Paul Oakenfold w/ The Crystal Method | Liquid Todd 8PM,"Flowdan w/ Hypho, The OG Muted, TAH/KOH 8PM",,"Overtime Winner w/ benched., Adolla + THURSTON 7PM",,,,Lucero | Thomas Dollbaum 7PM,Void Atlas | Exuvial | Hated | Black Bile | Bardo 7PM,Sol Source w/ The Lush Keys + Wottzability 7PM,,Pink Ranger | The Still Tide | Fair Elle 8PM,Logan Ryan Band 7PM,Inside The Mind | BetaRay | Brittany Bridgewater & The Sparks | Oh Brother 7PM,,Log | Holographic Americans | Cast Iron Shoes | Moose 7:15Pm,C-Busse 9PM,,Compost Heap Fest ,Las Cafeteras 6PM,Arthur S and The Effects | Mimi James and The Dustlighters | Late Nite Takeout 8PM,The Consequence | Sewerslide | Reality Complex | Wide Man | Chain Law 6:30PM
7/18,The String Cheese Incident 7PM,Tyler Childers | Jon Batiste | Wednesday 6:30PM,,,,Bunt. 9PM,,,Jazz is Dead w/ Marcos Valle 8PM,,Belmont | Major League | Spite House | all in your head 6PM,Fiddlehead | Narrow Head | Knumears | Destiny Bond 7PM,Vellay Fever | Rowboat | A Strange Happening 8PM,"PhaseOne w/ Automhate, Avance, Kattana, Shadow Prince 8PM",Beasts Of No Nation | Green Buddha | RO$$AY Live Band | Out Of Line Brass Band 7PM,Lucid Intent w/ LunarScape + Anti Omega 4PM Loofy | Four Lives | Siixnights 8PM,GIRL DINNER w/ The Way She Goes + CHUCK 7PM,,,Fleetwood Mac Tribute w/ The Petty Fiasco 8PM,Save Ferris 7PM,,Toucon w/ Milli Shaw and the Flights + Half Hiro 7PM,,Pink Hawks | Last Reel Hero | The Opalites 8PM,Federal Nights w/ Los Mocochetes ft. DJ Miggy & DJ Psycho 8PM,Clay K and the Vertebrates | Prism Riot | House of Rock 7PM,,Sea of Flame | Dirty Kings | Luna Sol | Master Ferocios 8PM,Duran | Little Ghost 9PM,,,May Be Fern | Sunstoney 6PM,Arbor Sons | Thomas Owen | The Gospel 8PM,
7/19,Maren Morris w/ The Colorado Symphony | The Highwomen 7PM,,,,,Thomas Dolby & The Lost TOy People | Flock of Seagulls | The Motels | The Producers | Animotion | The Excape Club | Tommy Tutone 6:30PM,idobi Radio Summer School | Honey Revenge | Games We Play | Winona Fighter | South Arcade | Chase Petra 5PM,,,,,,Johnny Dynamite | Tassles | Porcelain Horses 7Pm,,,"Children of Divorce w/ The Stairwell, Business Dinner + Eve & Josh 4PM",Leon Majcen | Caleb Schwing & The Lil Mamas 7PM,,,,,,Rock N Roll is Dead w/ Bluebird Drive + Medium Serious 4PM,Save Ferris | First Born | The Swashbuckling Doctors 7PM,,The Okee Dokee Brothers 11AM & 2AM,,,Built To Last 4PM,,,,,,Hostile Takeover | Pillaged | Severed Rality | Spin Move | Gooey Cookie 6:30PM
7/20,Hilary Duff | La Roux | Jade LeMac 7PM,,,,,The Marcus King Band | Penelope Road 8PM,,,,Forrest Frank | Tori Kelly | Cory Asbury | The Figs 7PM,,,,,,,The Family Crest | Ian Mahan 7PM,,,,,,,,The Futons | Bones of Life | Tart 7PM,,,,,,,,,,
