,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Tavern,Ante Up
7/31,Tedeschi Trucks Band | Lukas Nelson 7PM,Excision | Space Laces | Layz | Sodown | Capochino | Jon Casey | The Resistance | Usaybflow 5Pm,,Vishal-Sheykhar 5PM,,Interpol | Youth Lagoon 8PM,Eslabon Armado 7PM,MC Chris | Swell Rell 7PM,,"Lionel Richie | Earth, Wind, & Fire 7:30PM",Oakwood | Love Letter | Shorts | John Pankey 7PM,ALL 8PM,,GUDFELLA & Hans Glader – 2 Stages – All Night Long 9PM,GUDFELLA & Hans Glader – 2 Stages – All Night Long 9PM,,Flahoola | Fortune Child | Moonlight Bloom 7PM,,,,Anthony Green 6:30Pm,Matte Blvck | Snakes of Russia | So Much Blood 7PM,"Stationary Shop w/ Soulma, New House + Resisting B!tch Face 7PM",Under Auburn Skies | The Burial Plot | Colony Collapse 6:30PM,MaryAnne Muglia | Lonely Choir | Kat Goblin 8PM,,Curt Claudio | Jack Campbell & The Head Mess 7PM,,,Soctopus | Lily Nova 9PM,,,Dessa | Kayla Marque 6PM,Nth Degree | Splintered Autumn 9PM,Prevention | Reject | Hostile Takeover | Severed Reality | Tightspot 7PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18300 w alameda PkWy,6350 greenwood Plaza Blvd,95 spectrum lp,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,2106 e platte Ave,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,2935 w 7th ave,3295 s broadway,,404 N broadaway,,,,1624 market st,,
Blucifer,2MX2 | A Place For Owls | Abrams | Acid Sentence | Andy Tran & The Drive | Anthony Ruptak | Areyma | Arson Charge | Ash Redhorse & The Nidmight Suns | Autumnal | Average Jonny | BabyBaby4ever | Barbara | Big Dopes | Big Pinch | Bitchflower | Blackberry Crush | Blankslate | Blood Oath | Bluebook | Boot Gun | Bridgette Spinney | Bruha | Bud Bronson & The Good Timers | Bun Bun | Cactusheads | Capar Milquetoast | Chase Cavanaugh | Cheap Perfume | Chella & The Charm | Cherry Spit | Chordandjocks | Chroma Lips | Circling Girl | Circling Over | Claruin | Clementine Was Right | Cobranoid | CCole Hemstreet & Friends | Colfax Speed Queen | Corsican | Datamen | Dent | Derek Dames OHL | Deth Rali | Dillon Hoock | Divingbell | Dlzmksbts | Dollpile | Don Chicharron | Dream of TIme | Dressy Bessy | Dry Ice | Dry Mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dryer Fier | Dvnhppy | El Jaguar De La Muerte | Extra Gold | Flahoola | Foreign Suns | Fresh Fruit! | Fruta Brutal | Fuya Fuya | Gartener | Gion Davis & The Designated Strangers Handknit | Harrison Bergeron | Head Slug | Heated Bones | Hex Cassette | Honey Blazer | Horse Bitch | Hrzn | IIES. | In Plain Air | Inaiah Lujan | Jaguar Stevens | Joe Teichman | Joshua Trinidad | Julian St. Nightmare | Just A Feeling | Kay Weathers | Keddjra | Lady Los | Lonely Choir | Look At Fiona. | Los Mocochetes | Modern Leisure | Monkey Man | Moonlight Blook | Moonpool | Moth Season | Mouthful | Nicki Walters | Night Fishing | Nina De Freitas | Patrick Dethlefs | Pink Hawks | Pink Lady Monster | Pink Ranger | Plstic Mystik | Pleasure Prince | Precocious Neophyte | Queen Forg | Rachel Lynne | Red Milk | Ritmo Cascabel | Rosebay | Rugburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sell Farm | Shadow Work | Shady Oaks | Shwarma | Silver West | Soneffs | Sopia Eliana | SOur Magic | Spells | Stil Runnin | Suicide Cages | The CD's | The Crooked Rugs | The Gray Jays | The Milk Blossoms | The Salesmen | The Savage Blush | The Tammy Shine | The Whimsies | The White Moms | Tiny Tomboy | Tomato Soup | Travel Kit | Vegan Gore | Watch Yourself Die | Wave Decay | Waxpool | Wheelchair Sports Camp | White Rose Motor Oil | Wulfsun | Yonnas & Yearning | Your Friend Nirantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMS,54 Ultra | Slenderbodies | Goldie Boutilier | Angelica Garcia | Bad Nerves | Charlotte Sands | Deb Never | Thr Droptines | Earth To Eve | Ill Peach | Kaash Paige | King Mala | The Mainliners | Marfa | Mavi | Obed Padilla | Punching Bag | Roi Turbo | Rootbeer Richie | Snooper | The Sophs | Tommy Newport | Twin Shadow | Venus & The Flytraps | A Brother's Fountain | All My Senses | All Waffle Trick | Amanda Hawkins | Analuna | Angels In Electric Chairs | Animals in Exile | Areyma | Bad Boy Bug | Bailey Elora | Battle Pussy | Bitstream Bleed | Bluebook | Blxckpunks | Boot Gun | Brink | Bruha | Bunny Blake | Camilla Vaitaitis | Charleon | Cherokee Social | Cleaner | Co-Stanza | Cofax Speed Queen | Covenhoven | Daffy | Darcy Nelson | Destino | DJ MNM | DNA Picasso | Dominique Christina | Dommytumont | Doobie Danz | Dvnehppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.M.E | El Jaguar De La Muerte | El Salvaje | Erin Stereo | Eye-Yoob & Habibeats Band | Fair Elle | Fear of Satori | Fountain of Youth. | Fruit Eyes | Gabbana Nova | Gano | Gio Chamba | Gracie Bassie | Halle Tomlinson | Holdfast. | Home | IIES. | Indigenous Peoples | Izacalli | J Bolivar | Jack Campbell & The HEad Mess | Jade Oracle | Jae Wes | Jordan Burgett & Residing Elsewhere | Jun Raine | Junior Drag | K8ie | Kaitlyn Williams | Katrina Leibee | Kayla Marque | Kid Western | Kinju | Kndrx | KO Kelly | Koy Pond | Lady Los | Lane-O | Legs. The Band | Lily Nova | Lokanna | Lolita | Los Hermanos Latin Funk | Lost Relics | Luckiee B | Machete Mouth | Madeline Hawthorne | Mae Hunniford | Malcolm Whyz3 | Mandalyn Blair | May Be Fern | Mayor Grey | Meta and the Barkada | Milk Blossoms | Mlady | Monica the Great | Moon Magnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Mr. Frick | Nadezhda | Namebackwards | Neeks | Nice Boat | Nicki Walters | Nina De Freitas | No Fauna | Not A Luxury | Novet | Osha Renee | Plastic Mystic | Pleasure Prince | Poor Moxi | Pout House | Puka | Questshun | Rarebyrd$ | Raspberry Donut | Rebecca Hartt | Rene Moffatt & The Moonshadows | Resrface | Retrofette | Reubot | Riah | Riley J Band | Riot State | Ritmo Cascabel | Ro$$ay | Room By Room | Rubedo | Rugburn | Satellite Pilot | Schama Noel | SF1 | Shadow Work | Shae Volz | Sidmfkid | Silkworm | Subustarr | Sofia Young | Something Slight | Somos La Noche | Sour Magic | Soy Celeste | Speed The Pilgrim | Spinks | Stil Runnin | Stovetop Gemini | Taking Back Monday | Telly | Cherry Street | The Death Chat | The Frickashinas | The Hardly Evers | The Photo Atlas | The Plastic Cherries | TheycallhimAP | Thousand Frames | Travel Kit | Trayce Chapman | Trinity Scales | Venus Cruz & Super Distant Boyfriend | Vika and The Velvets | Wastebasket | Wild Love Tigress | Write Minded | Wulfsun Yugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ed Sheeran | Myles Smith | Aaron Rowe Empower Field July 4th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC/DC | The Pretty Reckless Empower Field July 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compost Heap,Ceschi | Rent Strike | Hans Gruber and the Die Hards | Myles Bullen | doom Scoll | Lo Cash Ninjas | Dusty The Kid | Pesky Self | Dead Work | Troll 2 | Team Nonexistent | Crow Cavalier | Gila Teen | Danbert Nobacon | Dandelion Massacre | Tezca | Ryan Cassata Band | Church Fire | TV Moms | Fables Of The Fall | Grinning Death | Frog Legs | Snailmate | Carrion Crawlers | Brendan Hill | Worms In Dirt | Mlady | Brook Pridemore | Trashboat and the Ambush | No Reason to Care | Everybody's Worried About Owen | Scouts Honor | Cop Killer | Girlslime | Jo Rodriguez | Eli and the Hypotheticals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
