,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Tavern,Ante Up
9/19,Atmosphere | 3OH!3 | Everlast | Slick Rick | Z-Trip | RA THE RUGGED MAN | DJ LALA 7PM,,Lynyrd Skynyrd | 38 Special 6:30PM,,Wave To Earth 7PM,Ninajirachi | MGNA CRRRTA 9PM,,Ryan Beatty 7PM,Son Little 7PM,Dana and Alden 9PM,Billy Strings 7:30PM,Towa Bird | mother Soki 7PM,,,Kristin Key 4:30PM & 7:30PM,Yoi Toki | Saint pepsi 9PM,Qrion b2b Massane w/ Rowland Giles + Black Wands 5PM NIIKO X SWAE 8PM,,,,,Bravo the Bagchaser | Peysoh 7PM,,,Lola Black | Don Jamieson 7PM,303BVBY 7PM,,,Bobby Lee 7PM,,,Ryman Leon 8PM,,,,
9/20,Andrea Bocelli 8PM,,,,,Ravyn Lenae Presents: Blue Island | Lexa Gates 7PM,,,,Josh COnway | Homeshake 8PM,,,Chat Pile | Soul Glo | Virga 7:30PM,Matt Heckler | Johno Leeroy 7PM,,Sub Urban 7PM,Laundry Day 7PM,,,,,,,Gordi 7PM,,,,,Billy Strings 7:30PM,,,,,Japan fest with JA-NE Cultural Mixtape 4PM,,
9/21,Andrea Bocelli 8PM,,,,,,Starbomb | Epic Rap Battles of History 8PM,The Tear Garden 7PM,Sophie Truax | Sasha Cee 7PM,Aldous Harding | Sam Burton 8Pm,,Chanel Beads | Mechatok | Anastasia Coop 7PM,,,,,,,,,,,,,,,,,,,,,,,,
9/22,Foster The People | The Beaches 8PM,,,,Isaiah Rashad | Alemeda 7PM,Channel Tres | Kilimanjaro 8PM,Social Distortion | Descendents | The Chats 8PM,,,Author & Punisher | Guiltless 8PM,,,Poison Girl Friend 8PM,,,,Dent May | Little Trips 7PM,,,,,,,,,,,,,,,,,,,
9/23,Bleachers | American Football 7:30PM,,,,Killswitch Engage | Machine Head | Rivers of Nihil | Judiciary 5:30PM,Alice Phoebe Lou | Hannah Cohen 8PM,,The Linda Lindas 7PM,,Alana Springsteen | Erin Kinsey 8PM,Johnny Blue Skies & The Dark Clouds 8PM,Nevertel | Rivals | Ocean Sleeper 6PM,Show Me The Body | Whispers | Jivebomb 8PM,,,,,The Lowest Pair 7PM,The Bends | Foxtide 8PM,,,,,,,,,,,,,,,,,
9/24,Hasan minhaj & Ronny Chieng (Comedy) 7:30PM,,,,Erykah Badu | Alchemist 7PM,Hiss Golden Messenger | Lou Hazel 8PM,Four Tet 8PM,Bowling for Soup | Ballyhoo! | rosecoloredworld 6:30PM,Laerz 7PM,The Bends | Foxtide 8PM,,Rum Jungle 7PM,Bella Kay 8PM,Mr. Phylzz | Moon Pussy | Church Fire 7PM,,SHIFT Ft. Eliot Lipp w/ Adam Deitch (Producer Set) 8PM,,Theo Kandel 7PM,,,,,,Yak Attack 7PM,Brian Fallon & The Painkillers | Ben Nichols 8Pm,ZEE Machine 8PM,,,Chelsea Wolfe | Jonathan Hulten 8:30PM,,,,,,,
9/25,The Revivalists | Ax and the Hatchetmen 8PM,$uicideboy$ | Destroy Lonely | Shakewell | Drain | Black Kray | $lim Gucci 6PM,The Commodores | The Spinners 6:30PM,,,Ivy Lab | Mr. Carmack b2b Stooki Sound | Cesco | Leenie 9PM,Prospa 8PM,,,Wind Walkers | If Not For Me | True North 7:30PM,,iviri | smush 7PM,Igorrr | Secret Chiefs 3 | Violent Magic Orchestra 7:30PM,The schizophonics | Fever Dog 7PM,oskar med k w/ Special Guests – 360 IN THE ROUND 8Pm,Bombargo w/ Special Guests 7PM,,Cardinals 7PM,Scott Nice | David Starfire | Empress | Wild Tide 9PM,,,Emarosa | Veaux | dreamfone 7PM,Trash - A Tribute to Garbage 7PM,Dublon 7PM,Hail The Sun | A Lot Like Birds | Blight Town 7PM,The Snares | Love Gang | Cleaner | Mouthful 8PM,,GUARDIN | kennedyxoxo | fijimar 8PM,The Fab Four: Tribute to the Beatles 7:30PM,,,"Johnny Manchild & The Poor Bastards, Friend of a Friend, Karma & The Killjoys 8PM",,,,
9/26,Big Gigantic | The Funk Hunters | Motifv | Drew Birch 6PM,,,ZHU | Purple Disco Machine | LP Giobbi | Swimming Paul | Coco & Breezy 1PM,,Citizen | Anxious | Hotline TNT | Cryogeyser 7PM,Yacht Rock Revue 8PM,President | Cenobia | Showing Teeth 6Pm,Wicca Phase Springs Eternal 7PM,Deer Tick | Presley Haile 9Pm,,Silly Goose | Cheem | Hotbox 6:30PM,Arlo Parks 8PM,Iguana Death Cult | Bitchflower | Rugburn 8PM,,"Slang Dogs w/ Odd Language, Fossils, Solkai 8PM",The Lollygags w/ Folded Face + Curt Claudio 4PM,Ian Mcconnell 7PM,,,,,Emarosa | Veaux | dreamfone 7PM,YHWH Nailgun w/ Nudo 7PM,Dad Rock Night (2000s Rock Tribute) presented by Council Hill 8PM,,Elder | Blackwater Holylight 7PM,,Mariachazo 8PM,,,Cory Branan | Jon Snodgrass | First Born 8PM,,,,
9/27,Jungle | RIO KOSTA 7:30PM,World of Warcraft: 20 Years of Music 8PM,,,,,,,,LØLØ 8PM,,,The Rasmus | Saint Agnes | Death Valley Dreams 7:30PM,Sweeping Promises | Angel Band | Broken Record 7PM,ROLLING QUARTZ [MY TURN] 2026 TOUR in Denver 6PM,The Ultimate Doors: Tribute to The Doors w/ Where there's smoke 6:30PM,,Saint Harison 7PM,,The California Honeydrops | Jontavious Willis 8PM,Shawn James 8PM,Arm's Length | Holding Absence 6PM,,,,,Combichrist | Ludovico Technique | Dead Animal Assembly Plant 7PM,,,,,,,,,
9/28,Jungle | RIO KOSTA 7:30PM,,,,,,,,Arrows in Action | Good Boy Daisy | Instant Crush 6PM,After 8PM,Breaking Benjamin | Chevelle | STARSET | Kami Kehoe  6PM,Evening Elephants 7PM,,,,,Nick Hakim | Arima Ederra 7PM,,,,,Anamanaguchi x Covet with sueter7 6:30PM,,Cain Culto 7PM,,,,,,,,,,,,
9/29,Coheed and Cambria | Turnover | The Home Team 7PM,,,,,The Menzingers | Hot Water Music | Weakened Friends 7PM,,,Lauren Sanderson 7PM,,,,Elder Island 8PM,,Covet x Anamanaguchi w/ sueter7 6:30PM,"Isaiah Falls w/ RAAHiiM, Luxury Lane 7PM",Cardinal Bloom 7PM,Anna Graves | Patrick Dethlefs 7PM,,,,,,,,,Hammerfall | Evergrey | Elvenking 6PM,,Beth Hart 8PM,,,,,,,
9/30,The Backseat Lovers | Friko 7PM,,,,Cavetown | Chloe Moriondo 7PM,Paris Paloma 8PM,Sons of Legion 7:30PM,,,Culture Wars 8PM,,Solya | Tele Novella 7PM,Uncle Acid & The Deadbeats | Messa 8PM,Spike Hellis | Normal Bias 7PM,"The Garden w/ Thaiboy Digital, Ghost Mountain 7PM",Bilal w/ Special Guest Yaya Bey 7PM,,Stephen Dawes 7PM,,,,,Revocation | Defeated Sanity | Fuming Mouth | Weeping 6PM,,,,,,My Hero Academia in Concert 7:30PM,,,,,,,
9/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18300 w alameda PkWy,6350 greenwood Plaza Blvd,,,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,2106 e platte Ave,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,,3295 s broadway,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phish 4-6 7:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
