,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,Paramount Theatre,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ
1/15,,,Braxton Keith & Randall King 8PM,,,,,,,Summer Bedhead | Circling Girl | Majona 7PM,,,Halfblud | Kai White | J-Lee | Regicide B2B Scottsbrandnew 8PM,Animals in Exhile | Girl Dinner | Juniper Lamplight 7PM,Sunkissd | The Speeks | Abernathy Shagnaster 8PM,UMPHREY'S McGEE 8PM,,,,Television Generation | Orbital Destroyer | Flahoola | The Gones 7PM,The Wakefuls | Kat Lane | Swift Current 7PM,,,,
1/16,,Wonkywilla | Buku | Overeazy  8PM,,Shrek Rave 9PM,Salooniverse | DAM Circus & Stanza Stone 7PM,King Cardinal | Travis McNamara | Nina de Freitas 8PM,,,,Love Gang | Lord Velvet | Malkasian 8PM,Lotus 8PM,Chick Magnet | Nostaljazz | Slippery When Wet 7PM,,Kade Hoffman | Max Alan | Derek Dames OHL 7PM,East Nash Grass | Pick & Howl 8PM,UMPHREY'S McGEE 8PM,United We Dance 9PM,,Hairball 8PM,Neuromorphic | Torn From Existence | Ritual Noise Abuse | Percipient 7PM,,,Green Typewriters | Salads and Sunbeams | Teacup Gorilla 8PM,,Resistful Misfit | Jaxon Wood | Battle For Alaska | The Sound Industry 7PM
1/17,,Wonkywilla | Whales | Montycler 8PM,,,Salooniverse | DAM Circus & Stanza Stone 7PM,Madison Cunningham | Ken Pomeroy 7PM,,,Mustard Plug / The Toasters | Catbite | First Time Caller 7:30PM,Body Heat (Disco) with Adobe Disco | Funk Hunk | Steve Cervantes 8PM,Lotus 8PM,Zach Nugent's Dead Set | Lucas Parker Band | The Buzz 7PM,Jehovah's Fitness Club | Bones Of LIfe 4PM,East Nash Grash | Pick & Howl 7PM,United We Dance: The Ultimate Rave Experience 9Pm,UMPHREY'S McGEE 8PM,Latin Night - A Bad Bunny Party ft. Jimmy Tronix 8:30PM,,Hannah Berner 7PM,,Starwolf 7PM,Hell's Bells w/ The Blackouts 8PM,,Federal Nights ft. DJ Miggy & DJ Ricky O 7PM,Rattlehead | The Walking Corpses | Vada & the Eliots | Vex Allure 7PM
1/18,Xavi 7PM,,,,,,,Febuary 7PM,,Kayo Dot | Abandons 7PM,,,,Brett Hendrix | Nick Willis | Ryan Chrys 4PM,Ninajirachi 8PM,,East Nash Grass | Lewis Turner 8PM,,,,Ebony Dark'Ness | Opposition Agent | Gush | Willinghost. 4PM,,,,
1/19,,,,,,,,,,,,,,,,,Ninajirachi | VIAZA 8PM,,,,,,,,
1/20,,Elevation Rhythm | Strings & Hearts 7:30PM,,,,,,,,,,,,,,,,,,,,The Residents w/ Special Guests 8PM,,,
1/21,,,Ernest | Chandler Walters 8PM,,,,,,,,,,,,,,,,Jim Gaffigan 7PM,,,,,,
1/22,,,,,,M0 | Casey MQ 8PM,,Bloomer | Pretty Pity | VIolent Night 6:30PM,,Cherished | Tassles | Flesh Tape | Headslug 7PM,Kitchen Dwellers w/ Jammy Buffet 7PM,Jimkata w/ Barbara 7PM,All the Reason 7PM,Skoki | Major Motion Picture | American Candy | Talk Box 7PM,,,,,Jim Gaffigan 7PM,Inhuman Condition | Wretched | Trash Panda | Among the Bodies 7PM,Manali | Polysanto | Lounge Drugs 7PM,,Ryan THe Son | SCO | Darius King 7:30PM,,
1/23,,Kompany | MAd Dubz | Dream Takers | Otsukare 8PM,STS9 8PM,,Future Joy | Michael Wilbur of Moon Hooch | Safe & Dangerous 7PM,Marfa | Strange Americans | Brent Cowles 8PM,,Yung Bleu | Spinks | DJ Machadellic 8PM,Schism (Tool Tribute) | Guerilla Radio (RATM Tribute) 8PM,Chthonic Deity | Street Tombs | Death Possession 8PM,Kitchen Dwellers w/ Silas Herman & The Tone Unit 7PM,"Ozztin w/ Yojas, Inari, Herricane Tesla, VelcroShirt 8PM",,Spit Shine | Waiting For Dani | Dialup 7PM,Jammy Buffet 8PM,Rory Scovel 7:30PM,Dead Floyd 8PM,The Toasters 7PM,Jim Gaffigan 7PM,,All Your Friends - THe Indie Party 7PM,BandWagon Magazine Battle of the Bands Finale 7:30PM,Gion Davis | Dollpile | Your Friend Nirantha 8PM,DM101 Tribute to Depeche Mode 6PM,Almond Butter (allman Brothers Tribute) | Steve Knight Band 7PM
1/24,,Kompany | YVM3 | Ophion 8PM,Kitchen Dwellers | Mountain Grass Unit | Lindsay Lou 7:30PM,,Toubab Krewe | River Spell 7PM,Boogie Lights & The Boogie Bunch | Pure COlors | Lando Burch | Chillsbury Doughboys R!AHT 8PM,,,Glaive | Kurtains 8PM,Vulgarian | 908 | Old Skin | Cop Killer 7PM,Tripp St. | RSUM | Rendr | Vyhara | Dizzy! 8PM,PMA | Ben Silver 8PM,Hostile Signal | Club | Becca Jay 4PM,O'Connor Brothers Band | The Elegant Plums 7PM,Diva Cup | Rosebay | Dry Ice 8PM,Dead Floyd 8PM,Jammy Buffet 8PM,Gimme Gimme Disco 8PM,Jim Gaffigan 7PM,Brown Sugar: A Throw Back R&B Hip HOp Dance Night 10PM,Rehash – mock tour | Boycomma 7PM,The Petty Nicks Experience (Tom petty & Stevie Nicks Tribute) 8PM,Bitstream Bleed | Surprise Soup | Soneffs | HALF MOON 7:30PM,Emo Night Brooklyn 8PM,Then I Fly | All Waffle Trick | Los Domingueros | Seiren 7PM
1/25,,,,,,,,,,,STS9 7PM,,Hopefully Soon | Louis David Klein | Tezca | Ghost Tail 4PM,Thiefs | Glass Knife | Unskilled Labor | Black Metal Unicorn 4PM,,,,,,,Overwroughts | TDI | Twisted Escape 4PM,,,,
1/26,,,,,,,,,,,,,,,,,,,,,,,INdie 102.3 Meetup w/ Animal Electricity (Free) 6:30PM,,
1/27,,,,,,,,MC DAVO | Sabino 7PM,,,,,,,,Welcome to Night Vale: Murder Night in Blood Forest 8PM,,,Stuff You Should Know 7PM,,,,,,
1/28,,,,,,,,,,,,Clay Street Unit 7PM,,,,,,,,Dig Deep | Fables of the Fall 7PM,,,,,
1/29,,,,Aleman | Gera Mx 7PM,,,,,,William Elliot Whitmore + Jim Ward (Sparta) 7PM,,Shift | Midicinal | Catparty | Phlo | Philia 8PM,Brownee | Thug City | Somchairs | No Distractions | Astronomally 7PM,Zoe Stroupe | John Teas | Aiden Carenter 7PM,,,Pickin' on the Dead ft. Andy Thorn 8PM,,Billy F Gibbons and the BFG Band 7:30PM,The Lonely Mountains | Box State | 3X Charm | Discount Local 7PM,Open Trench | Opal Grove | Free Milk 7PM,,,,
1/30,,Chmura & Duffrey | Wub Zero |  Goosebumpz | Toy Box 8PM,Ship Wrek w/ Biscits + Yamagucci 8PM,,k?d | Kases 8PM,Resonant Ritual | Shizz Lo | RVGGZ | Dipper 9PM,,Bayymack 7PM,Shakedown Street 8PM,Call Sign Cobra | Friends of Cesar Romero | El Welk | Total Cult 7PM,Kyle Hollingsworth Band w/ Breadbox (Ballroom) + Dave Watts & Friends w/ Hot Like Mars (Other Side) 7PM,,,Dug | Nathaniel Riley | Sophia Eliana7PM,Earlybirds Club 6PM,,Josh Teed | DMVU | Confidon | Abasin | Casey Sullivan 8PM,Blashkora | Dirty KIngs | Another SIde of Hate | Resile 7PM,Jessica Kirson 7:30PM,Triune | Talons | Blackbile | Spitting Image 7PM,Sexy Coyote | Seattle Kay | Crystal Visions | DJ CLownslut 7PM,"Tributes to No Doubt, Missing Persons, Blondie, and The Cranberries 8PM",The Canyon Echoes | Sugar Britches 8PM,Ty and the VIbe | Suppatime | Terminal Count | Soothed 8PM,J. Carmone | Silver West | Why Will? 7PM
1/31,,Dogs In A Pile | Casey Russell Band 8PM,Ray Volpe 9PM,Ghengar | Muerte 7PM,Fameusly Funke 8PM,Crimewave: A Darkwave Party 9PM,,Chri$tian Gate$ | Neon The Bishop 8PM,Bane | ROtting Out | Eyes Of Salt | Warmachine 7PM,The Crooked Rugs | Rugburn | Chroma Lips 8PM,Flamingosis | Blockhead | Pure Colors | Little Mac 7PM,Miilk | Buzz Junior | Sweetboi | Harvest 8PM,Clem Rockz | Union Drive | This Is The Storm 3Pm,Heir To Nothing | Cut Down | Vitrify 7PM,Josh Teed | DMVU | absnt | Beanz 8PM,Fitz and the Tantrums | Juno Rossa 8PM,Gimme Gimme Disco 8:30PM,A Riff Rag Hip-Hop Showcase Ft. Vetlyfe | Fozzy Stylez | Widefield Yeti | U.M.D. 7PM,,,The Lush Keys | The Da-Jey | Charlii | Ash Redhorse | The Midnight Suns 7:45PM,Paizley Park 8PM,Psilocyborne | Questshun | Aethra xia 7PM,Atomic Shine | Prophets Tomb | Sea of Flame | Old Deer 7PM,Swade Brigade | Chinaflower Suncats | Booty and the Beat 7PM
,,,,,,,,,,,,,,,,,,,,,,,,,
,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,,,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,,
