,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,The Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,The Black Box
5/18,Khalid | Lauv 7:30PM,,,,,,,,,,,The Scratch | Dug 7PM,,Telehealth | Chroma Lips | Video Daze 7PM,,,,Mt Jones | Becca Jay 7PM,,,,,,,,,,,,,The Props | Skiimo | Silver and Gold 7PM,,,,
5/19,Kevin Gates | Shoreline Mafia | Ty Dolla $ign 7PM,,,Dethklok | Amon Amarth | Castle Rat 6PM,,,,,,Electric Six | Tragedy: (All Metal Tribute to the Bee Gees) 8PM,,Vunderbar | Goon 7Pm,Jensen Mcrae | Jackie Evans 7:30PM,Oxygen Destroyer | Drawn & Quartered | Inoculated Life 7PM,Inner Wave | Twin Seas 7PM,Holy Fuck w/ Pleasure Prince 7Pm,Just Mustard | Miss Grit 7Pm,Ike Dweck | Anna Hamilton 7PM,,Indigo Girls | Jessie Mazin 7:30PM,TOPS| Riki | Lady Denim 8PM,Being As An Ocean | Lagrimas | Commoner | White Oak Doors 6PM,Windwaker | Colorblind | If Not For Me 6:30PM,,,,Tripping Daisy | Jumprope | And The Black Feathers 8PM,,,,,,,,"Sub.mission Electronic Tuesdays: Waylo x Grim Sickers. Weekly DJ Battle - Punkboi, Downbad, Drift Wud 8:00 PM"
5/20,,,,Yellowcard | New Found Glory | Plain White T's 6PM,,,Indigo Girls | Jessie Mazin 7:30PM,Babyfxce E | Luhh Dyl 7PM,,Whitney | Lucky CLoud 8PM,,Being As An Ocean | Lagrimas | Commoner | Miniluv 6PM,Smerz | Kaitlin Simotics 8PM,,Sina Bathaie 7:30PM,Old Mervs | Crepe Girl | Ra Ra Viper 6:30PM,,Ella Luna 7PM,,,PURITY RING | mmj 8PM,,Stop.Drop.Rewind | Suitable Miss | Edith 7PM,,Cryptopsy | Necrot | Spirit Adrift | Blood Monolith 7PM,,,The Casualties | The Drowns | Battle Sights 8PM,,,,Brian Bates - Stand Up Comedy (Denver) 7PM,,,
5/21,Flipturn | Richy Mitch & The Coal Miners 6PM,,,,,Sepultura | Exodus | Biohazard | Tribal Gaze 6:30PM,,Babyfxce E 7PM,Deadtronica 8PM,Ray Bull | Babehoven 8PM,,SpiritWorld | Roman Candle | Doomsday | Primal Fury 6PM,,,,"SHIFT Ft. NotLö w/ Two Girls One Laptop, Zentik, SKERD, Contest Winner 8Pm",Benda | Kalyp | Nyxzara | Titanz 7PM,Bubble Mower w/ The Edgewater Project + Oatmilk 7PM,,Purity Ring | mmj 8PM,Grant Farm | Violet Pilot 8PM,,Anti Omega | 9th Matter | Jester's Paradox 7PM,Cause Celebre w/ The Rough Times + Jesters and the Court 7PM,,JD The M.C. 6:30PM,,,,Left Out + Open Trench 7PM,Brody Schenk / Thomas Jordan 9PM,,,,
5/22,Seven Lions | MitiS | Trivecta | Kill the Noise | HVDES | Quackson 6PM,,,,,Carnifex | Bodysnatcher | 200 Stab Wounds | Ingested | Gates To Hell | Bodybox 4:45PM,Echo & The Bunnymen | Joshua Trinidad Quartet 8PM,,,Gravagers | Garret Dix | Planet Bloop | Mika Ohno 9PM,,dead calm | Term$ 7PM,Seven Lions | Must Die! | Quackson 11:45PM,Post/War | Brass Tags | Cult Communion 8PM,Moody Good | Criso | Lord Genmu | Soma 8Pm,,,Bixby | Bheruty 7PM,,,The Crooked Rugs | Jesus Christ Taxi Driver | Slow Caves | Bitchflower 8PM,Jiluka | VCTMS | TSS 6:30PM,May Be Fern | Covergurls | Pretty In Punk 7PM,Fai Laci | Jackson Cloud 7PM,Neyla Pekarek 7PM,Messiahvore | Falcon Haptics | Boozifer 8PM,"Tributes to Alanis Morisette, The Cranberries, and KPOP Demon Hunters! ft. JAgged | Linger | Denver Demon Hunters 6:30PM",Barre Chord Bangers | The Jett Hearts | Manolia Honey | Hyndesight 7PM,,"Lost Relics, Old Deer, Orbital Destroyer and Worry 8PM",,,,Bone Thugs-N-Harmony | Dizzy Wright | Lil Eazy-E | Seuss Mace 6PM,
5/23,Fisher 7PM,,Turnpike Troubadours | Avery Anna | Rattlesnake Milk 6:30PM,,,Space Wizard | Izzy Vadim | Rane | Stayns | Lozer | Organic Matter 8PM,Qveen Herby | Thotsquad 8PM,,Wheelchair Sports Camp | Dressy Bessy | BRUHA | RAYANN! 7PM,Keenan Trevon | Kayla Rae | E.M.E. | AC Yung 8PM,,JILUKA | VCTMS | TSS 6:30PM,Cradle Of Filth | Suffocation | Ghost Bath | Cultus Black 7PM,,,Grant Farm Reunion | Tonewood String Band 6PM,Coming Forth By Day w/ Pennysick + 2 Seconds to Denver 3PM,Robert Lester Folsom | Kassi Valazza 7PM,,,,,Manidoo | An England Interview | Color Ache | Moy Rustang 7PM,Jaguar Sun | Dollpile 7PM,Screeching Weasel | The Dwarves | Hayley & The Crushers 8PM,Jaguar Stevens | Bitchflower | Chroma Lips 8PM,,Anthony BeastMode | Holly Wook 7PM,,The Past Year + The Wonder Whys + Vanna Blue 7:30PM,Probe 9PM,Caitlynne Curtis 8PM,Flesh Produce | On The Zenith | TDI | Purity COntrol 7PM,iZCALLi | Los Mocochetes | El Cro | Fruta Brutal | Monica the Great | El Jag 6PM,"Two Crows Collective: TRiP B W/ VIRE, Head$tash, Skichadi, Blunter S. Whompson 9:00 PM"
5/24,Alabama Shakes | JJ Grey & Mofro 7PM,,,,,,,,,,,,,Buffalo Nichols | George Cessna 7Pm,,,,Alive at Nine | Bridge Down | Adolla 7PM,,,,,,"Æthraxia w/ Burning Through Darkness, Condemned To Burn + Angels In Electric Chairs 7PM",Wish We Were Floyd & Transdermal Celebration (Tribute To Ween) 6PM,Joytrip | Mofie | Chase Cavanaugh 7:30PM,Dylan85 Celebrating the songs of Bob Dylan w/ Dewey Paul Band 6Pm,,,,,,,,
5/25,Alabama Shakes | JJ Grey & Mofro 7PM,,,,,,,,,,,,,,,,,Cole Hemstreet | The Futons | Jake Black | Double Date 5PM,,,,Powerman 500 | Makes My Blood Dance | Black Hearts Remain 7PM,Prince Daddy and THe Hyena | Remo Drive | Restraining order 7pm,Noise Resort | St. Range | Dante Must Die | Public Picasso 4Pm,,,,,,,,,,,
5/26,Kali Uchis | Mariah The Scientist 7PM,,,,,,,,,hemlocke springs | The Girl! 8PM,,Daisy Grenade | Vienna Vienna 7PM,Thornhill | 156/Silence | Fox Lake | Vianova 7PM,,,,,Glom | Buffchick 7PM,,,,Peeling Flesh | Missing Link | Kruelty | Bayway 6PM,,Diva Bleach | HRZN | Edith 6:30PM,,,Powerman 5000 | Makes My Blood Dance | No Future | As We Rise 7PM,,,,,,,,"Sub.mission Electronic Tuesdays: Sectra. Weekly DJ Battle - mrDOTseal, Thug City, Phase Two 8:00 PM"
5/27,Santana 7PM,,,,,,,,,Swervedriver | Broken Record 8PM,,,Clara La San | Sausha 8PM,,,,Vinyl Williams | HOTT MT | Flutter 7PM,,,,,Archspire 6PM,,,Fiinka 8PM,,,,,,,Michael Palascak - Stand Up Comedy 7PM,Star Funeral | Tassles | Head Slug | CLub 7PM,,
